"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","36356.684","36475.958","38037.102","24379.503","24067.497"," 4791.110","46229.059","15034.764"," 5203.543","13165.026","18752.098"," 9733.550","40652.917","44568.976","42179.903"," 5376.874","26380.925","21733.087"
"M375.07T470.729"," 53854.7379"," 21693.2307"," 44825.5197"," 32847.4290"," 46337.6789","   876.2880"," 35087.2430"," 56774.4485"," 68054.6405"," 57164.8254"," 70969.4114","   728.3991"," 34258.2139"," 43417.6251"," 46642.6188","  1040.0000"," 70434.6155","103290.8089"
"M354.093T469.671","33093.7363","13809.0422","28888.2772","21974.7847","28875.5319","    0.0000","22265.5727","38193.4389","42310.9145","39137.3024","44049.5636","  179.4435","25510.7259","27513.0066","28553.3410","    0.0000","46899.3489","68268.3430"
"M437.041T470.729","10634.0974"," 4613.9787"," 9527.0293"," 6168.5989"," 7908.8229","  212.7569"," 7192.0376","12388.7509","12789.3672","13053.9787","14517.2379"," 1506.2419"," 6718.6296"," 7591.2533"," 7517.1654","  158.0000","13733.4267","21605.7946"
"M757.441T1176.453","15834.899","15999.738"," 6306.343"," 6424.290"," 7364.481","    0.000"," 9290.103","14375.400","10234.123"," 7302.800","18034.462","    0.000"," 7785.557"," 9466.600","16648.731","    0.000"," 9220.993"," 8761.436"
"M881.515T1351.787"," 9063.4097","11624.2264","10161.5365"," 8733.3806"," 9050.9379","    0.0000","10541.2193","10906.8216"," 8818.7974"," 9832.0800","14844.9287","  756.8807"," 6674.1144","10406.8105"," 8267.5326","    0.0000","12194.5114","13381.0440"
"M511.24T944.134","24041.29","23298.24","39467.82","24487.22","35644.36","    0.00","34855.92","26346.66","26361.98","41936.26","36087.08","    0.00","30310.45","22963.29","22348.81","    0.00","51755.93","34204.71"
"M557.187T899.436"," 6502.081"," 4464.925"," 4205.390"," 6476.040"," 6576.782","    0.000"," 8816.360"," 3991.773"," 2555.994"," 3561.024"," 3869.874","    0.000"," 4704.115"," 4722.341"," 5883.203","    0.000","16238.831"," 6306.588"
"M1029.931T1194.947","10005.7998"," 6191.3117"," 9811.8572"," 7041.3153"," 5353.3932","    0.0000"," 2751.4281"," 5629.1455"," 4884.7068"," 4276.9219","10975.2618","  263.0065"," 6668.8841"," 8349.8191"," 6904.1733","    0.0000"," 8373.1081","10493.9472"
"M337.092T724.593","16086.191","10602.165","10279.332"," 9240.576","13128.306","    0.000"," 5266.760","15819.342","24115.042","10964.243","14776.214","    0.000","10940.268","12691.846","13902.367","    0.000","17945.056","27849.814"
"M1013.86T1346.532","13557.486"," 9744.944","12630.434","11947.070","15009.240","  997.418","13897.777","17322.025","12872.471","11065.161","13889.870","    0.000","12161.634","13633.639","12431.342","    0.000","13456.574","12174.785"
"M941.508T1318.851","4876.8567","7171.3564","7844.9553","4142.6594","7354.4037"," 477.2467","6998.6446","6579.4997","5987.9729","5062.2740","6728.4056"," 190.2656","4939.0235","5506.8065","6300.0452","   0.0000","7337.4545","5644.1179"
"M1085.513T1348.399"," 8168.529"," 8196.433","13642.684"," 9760.329","11754.247","  495.300","12328.541","10821.332"," 9236.534","12155.781","10609.962","    0.000","10019.307","10053.165","10238.050","  172.000","16637.784","13513.938"
"M466.978T106.664"," 6277.7143"," 7144.4957","10682.6900"," 7371.0075"," 7954.3920","    0.0000","10603.4923"," 6055.5164"," 5602.4466"," 6763.8393"," 7886.0581","  386.6858"," 6136.5184"," 6861.4595"," 7071.7962","    0.0000"," 5925.4991"," 4177.7098"
"M861.451T1062.153","5228.6812","9303.7843","7101.4746","5795.1937","7829.4106","   0.0000","7197.3630","7494.0240","7112.9423","3494.7773","7241.2780"," 573.7393","6050.5399","5669.7535","6998.9776"," 686.0000","3100.0785","3139.4401"
"M1059.606T1053.565","3958.7889","3791.8835","3366.2329","4893.7613","7158.8005","   0.0000","2999.9348","1306.9666","   0.0000"," 342.1971"," 790.7898","   0.0000","   0.0000","3006.6253","4342.4866","   0.0000","8266.4246","4742.0458"
"M1096.195T893.605","2513.449","5689.227","9631.853","1639.026","2181.289","   0.000","2613.077","9882.111","4306.188","8686.165","4313.459","   0.000","3723.938","7149.213","5862.936","   0.000","1667.475","3088.889"
"M180.067T785.272","1858.8432"," 878.5188","1747.0830","3260.8130","2906.7412","   0.0000","2924.2183","2920.9951","3117.2353","4283.7624","5880.7434","   0.0000","1384.7323","3197.1367","4247.2808","   0.0000","1334.9368"," 394.6442"
"M633.053T106.254","3863.0476","4116.4514","4924.8634","4434.4085","4513.3214","   0.0000","5795.4326","3517.2431","2826.4654","3891.4317","5219.8240"," 177.6171","3219.3368","3991.8705","4322.7298","   0.0000","5113.2161","3611.8039"
"M1014.89T1344.191","10043.9317"," 5756.5861","11883.9186"," 8965.3425"," 8323.8675","  669.8817"," 8348.4821","11135.8757"," 8173.9131"," 8870.0679"," 6911.5728","    0.0000"," 7954.4303"," 9303.1112"," 9183.6951","    0.0000","10847.8765"," 9128.2966"
"M1269.507T907.7","14832.016","26716.575","20944.803"," 8665.954"," 8476.707","    0.000"," 7540.262","14621.002","16789.896","12744.964","17115.045","    0.000","14416.448","14120.349","18528.034","  291.000"," 6467.347"," 7509.131"
"M985.574T1225.672","36967.7501","21480.7279","40581.5344","26823.5707","31418.3975","  264.7291","28739.3104","23216.3270","16729.6983","30193.2067","30647.3526","    0.0000","29024.8843","18089.0922","27432.0933","  367.0000","39864.2618","28847.9330"
"M1030.586T1195.906","56757.7010","55148.4990","71692.9986","45359.2020","55909.6019"," 1189.9079","59826.5619","52409.0880","38981.9532","43111.3618","45498.3930","  438.5101","51250.8133","43236.7951","47441.6258","  251.0000","60384.2525","51325.8721"
"M983.568T1252.43"," 8173.2249"," 6394.6220"," 6410.2905"," 4460.3039"," 3859.8616","  211.3206"," 7226.4835","14260.3524","10991.8615"," 7073.1430"," 7499.7549","    0.0000"," 4222.5287"," 4419.1077"," 4674.7858","    0.0000"," 5428.7038"," 7119.6152"
"M457.19T799.683","12525.232","10831.504","15163.007"," 9096.221","10525.152","    0.000"," 9010.794","10447.746","11195.794","15729.750","18632.391","    0.000","11335.514"," 7465.165","14929.363","    0.000","13687.119","10854.247"
"M821.506T1329.663"," 9815.992"," 6526.068","10553.842"," 4794.265"," 6782.371"," 1742.589"," 6441.347","14357.822","11032.203"," 8691.339","10124.463"," 2373.281"," 6914.139"," 6955.673"," 8425.225"," 1130.000"," 8504.087","10598.867"
"M768.448T1315.096","5816.4518","3898.5221","5737.7670","4458.9733","5968.8643","   0.0000","6308.6251","7745.0903","6547.9341","5673.0564","6760.8357"," 174.2981","4138.8995","5074.6399","5652.0426"," 158.0000","7302.6701","9320.8687"
"M309.118T727.508","3890.6288","2786.4120","3372.2124","2569.0078","1154.5123"," 208.4205","3521.2170","4036.4932","5844.9165","3232.0689","6032.9067","   0.0000","2999.4390","3589.5202","3180.7686"," 251.0000","1445.1576","1907.5633"
"M655.999T943.196","37812.8994","63847.8040","60871.9900","49113.6255","41194.3818","    0.0000","40901.1853","44230.1197","57803.2244","40314.8977","44622.0307","  402.8528","38168.0490","61377.2632","17181.7097","    0.0000","28750.7399"," 9289.1109"
"M565.05T98.887","60343.7860","25514.8512","20242.5026","10282.2703","13005.1021","  663.6854","10961.9520","10734.8329","12040.1430","11133.5335","41091.0027"," 1246.6943","12135.6171","17753.2720","17413.8960","  165.0000","11868.2411","11524.7966"
"M277.129T811.716","4863.9287","2476.8468","5978.5995","2428.8440","3965.5949"," 959.4677","3327.8767","4744.4002","3291.0285","7050.3740","6799.3714"," 415.0391","4605.2087","4676.5665","4766.7733"," 521.0000","6399.1736","6223.9241"
"M1097.561T894.34","7711.431","9544.433","4011.383","4435.597","3080.098","   0.000","2753.445","5809.390","9601.400","3789.776","9882.832","   0.000","7739.192","5587.538","7956.850","   0.000"," 978.724","2910.459"
"M921.374T936.829"," 7384.8305"," 2688.0837"," 9794.6050","11413.9349"," 7952.5852","  404.9318","13163.9759","12005.3093","14437.7923","17157.4003","14370.6277","    0.0000","11766.4908","11812.3315"," 8768.9718","  328.0000"," 9269.0058"," 9660.1407"
"M451.007T107.467"," 6285.2972"," 7040.8789","10498.9500"," 8506.9504"," 9956.7668","    0.0000"," 9863.4487"," 7464.6480"," 5861.2719"," 7255.5256"," 7326.7101","  177.5224"," 6343.0158"," 7192.3342"," 7840.8243","  405.0000"," 8656.4046"," 4110.0546"
"M1100.582T1225.322","13889.4999","12805.2505","21851.1490","10412.5440","14718.5994","  254.7874","17339.8405","13529.6015","13446.6690","13880.4755","13268.9471","    0.0000","13650.0031","10940.3633","11119.1611","  669.0000","18020.9238","14797.1843"
"M649.302T900.549","12479.9574","11393.9394","16623.2439","12102.7494","12702.4143","  743.5769","19726.7871","13617.2693","13244.8189","14906.2068","14500.3259","  351.2874"," 9646.4179","12238.8537","13198.1197","  287.0000","16684.7846","18554.6684"
"M286.972T107.919","20342.3763","23283.3555","28001.1200","29114.5495","24608.0120","  621.4443","34026.1091","22071.1680","20469.0705","19696.1120","22589.0710"," 1103.3491","22517.4182","20946.4320","23618.7328"," 1600.0000","22528.6152","15146.0754"
"M581.318T900.123","17753.62","16142.36","32009.17","16640.80","12455.49","    0.00","20033.39","21647.05","18435.59","20709.56","26688.99","    0.00","14012.53","16082.49","18739.60","    0.00","29752.32","26197.00"
"M1014.585T1348.471"," 67153.7810"," 48440.7220"," 92371.7640"," 61948.2868"," 69808.4465","   559.4672"," 82311.9027"," 76757.5668"," 61159.2836"," 74909.3793"," 73944.4070","     0.0000"," 61389.5339"," 63745.8564"," 67164.0386","   287.0000","113995.3787"," 84928.7418"
"M799.289T814.54","8010.2064","6248.8272","5916.0282","5495.6179","4703.7560","   0.0000","5700.4883","6153.1889","2048.9675","5391.1110","6604.6987"," 314.1381","2454.8184","4604.5990","6181.6843","   0.0000","7876.2876","7651.5685"
"M1053.272T316.465","12613.8910","12761.8442","18483.2267","16498.2300","10370.5056","  282.3832","16867.7520","16999.7343"," 9700.8718","21885.3960","17941.4112","    0.0000","10124.7300","14327.6491","13880.8320","    0.0000","24616.2890","19149.1404"
"M1097.037T893.528","3201.5150","6221.7298","2552.9900"," 881.9333","3089.1681","   0.0000","3972.2090","7322.5637","7621.9171","4846.0450","7103.5116","   0.0000","5221.8294","4780.9274","4559.7700","   0.0000","1878.9878","1312.2710"
"M869.849T1307.413","12219.467","12874.734","20257.822","11144.854","11854.347","    0.000","11873.842","21767.882","13162.907","12773.527","12810.967"," 1384.025","14203.596","12582.938","12479.639","  289.000","12131.502","13111.442"
"M1071.559T892.477","3937.433","5293.732","3734.124","1948.256","2355.000","   0.000","3908.501","5648.695","6159.231","4356.788","6571.633","   0.000","4534.062","3910.504","4636.522","   0.000","1901.432","2092.329"
"M1000.263T316.358"," 5765.285"," 7371.168","13165.245","12587.789"," 6871.786","    0.000","10892.631"," 8281.897"," 5158.339"," 9402.637","11931.200","    0.000"," 7876.787"," 8144.403"," 7698.733","    0.000"," 9180.588"," 8303.958"
"M767.194T317.413","16660.7586","12202.4484","22603.8965"," 5452.1318","15623.5222","  336.4937","18891.2330","18609.1240","12623.0764","21405.3181","21134.9320","  218.0503","15905.8550","18731.7138","19824.5396","    0.0000","19790.9755","21036.8423"
"M650.407T1378.088","4200.686","3299.585","5634.592","5966.096","4137.076","   0.000","5681.878","8228.228","9298.950","9840.524","6752.712","   0.000","5695.045","5710.686","7875.919"," 123.000","8671.034","7185.532"
"M653.891T318.024","12661.5273","10005.6437"," 9932.8680","15488.8949","13676.4908","  278.4612","15591.5175","15255.1824","11354.5779","15188.0325","12122.5358","  232.9560","11549.6356"," 7624.8476","13052.0159","  198.0000","18747.0844","15865.4074"
"M560.841T1187.938","43383.9916","32636.9158","42470.5638","17952.4003"," 7818.3117","  982.3144","41129.1998","23102.9918","14549.9553","17121.5420","46072.9940","  507.1619","36529.4464","34871.7252","33615.9219"," 1250.0000","28563.5667","38881.3335"
"M354.957T108.842","4653.311","5119.320","6255.650","5293.269","6484.742","1874.660","6925.221","6005.226","5670.609","6859.739","5712.311","1353.140","4389.640","6077.264","5727.023","1150.000","5488.639","5109.422"
"M590.775T907.789","18042.606","23468.702","22071.996","13980.987"," 8651.703"," 3471.875"," 6027.642"," 9594.719","19031.385"," 8116.559","23558.356"," 2827.144","18973.188","12850.461","28738.954"," 3010.000"," 6105.371"," 5941.793"
"M206.082T164.917","1638.0083","1845.4076","3023.7642","5127.1487","7653.2731","   0.0000","4148.0929","1273.7055","   0.0000"," 598.4210"," 826.3048","   0.0000","4151.1292","1961.8596","4176.9184","   0.0000"," 726.1951"," 394.1877"
"M1161.521T895.466","51576.29","80243.85","61448.92","28212.31","28989.68","    0.00","40464.38","63678.77","83644.56","53800.92","57338.98","    0.00","50986.10","54165.38","57166.67","    0.00","24052.44","30713.77"
"M418.218T902.438"," 6388.373"," 3608.900","16761.003"," 5057.541"," 9170.568","    0.000"," 6724.010"," 9818.772","10349.473","11414.075","10538.228","    0.000"," 6054.371"," 6786.100"," 5994.670","    0.000","11595.737","11391.049"
"M632.783T316.499","22002.325","21578.995","36557.502","29052.378","17958.643"," 1783.900","33883.381","42554.103","12443.201","17710.214","30817.849"," 1539.373","17826.184","18869.802","20683.255","  987.000","30879.965","38848.468"
"M451.218T291.531","14051.981"," 8134.467","19695.803"," 7614.393","10978.885","    0.000","10893.815","18952.026","18134.495","17513.366","22892.337","    0.000","11994.827","10924.788","11114.612","    0.000","13806.938","19032.476"
"M344.099T126.621","4209.695","2810.624","7609.187","4972.659","4442.940","   0.000","5919.401","5613.685","4529.221","5193.574","6770.982","   0.000","4092.090","4198.872","3953.520","   0.000","5920.398","5631.340"
"M385.113T835.894"," 6350.0369","  800.3892"," 3694.5229"," 4819.7889"," 6187.1871","  299.6620"," 7487.2590"," 6128.3662"," 5137.9940"," 7886.8804","10792.4016","    0.0000"," 3187.6318"," 6603.5918"," 4014.8847","    0.0000"," 9017.9177"," 3209.7254"
"M627.229T851.009"," 9020.5673"," 3965.2632","15536.1310"," 8801.7938"," 7918.7276","    0.0000"," 6142.6076","13811.6223","11975.6197","17404.1576","18648.1261","  456.4727","10435.3359","11233.3785","11491.9607","    0.0000","20447.6359"," 9423.5534"
"M885.489T1408.277","6298.634","5370.919","8869.130","5359.958","7651.240"," 347.027","8465.334","8782.288","9646.512","8779.667","8996.199","1405.455","6062.796","7239.227","6913.899"," 885.000","7626.948","8967.888"
"M645.124T781.203","10654.721"," 9743.817"," 6864.246"," 6942.111"," 6354.383","    0.000"," 5950.610"," 9582.322","17680.958"," 6717.549","14240.743","    0.000"," 5522.743"," 7677.697"," 5214.766","    0.000"," 3693.931"," 3314.448"
"M942.469T1308.469","10808.8070","14401.3773","18006.3879","11824.0872","15613.4515","  254.3210","13217.5350","13966.5189","14579.3663","12238.4428","13702.9059","  353.8814","12762.7025","12611.7320","14748.4036","    0.0000","18459.7209","14153.1009"
"M421.069T767.549","20065.57","15868.92","15594.81","11932.44","17758.29","    0.00","15398.42","34492.07","32686.89","31224.18","36520.28","    0.00","12116.45","17371.29","20604.59","    0.00","24261.49","51126.52"
"M643.245T813.714","3906.4315","2199.3296","4658.3859","2825.5996","2437.5947"," 770.7577","5807.5897","3585.5347","2683.5919","4968.0469","5848.3869"," 378.5342","2176.2325","3719.5867","3614.2700"," 260.0000","4946.4221","3229.2269"
"M745.161T766.586","6205.096","2848.621","4974.072","3911.693","1888.381","   0.000","3436.102","6641.979","6489.847","5627.895","6867.689","   0.000","6013.373","5353.639","7304.045","   0.000","5100.496","6827.729"
"M316.508T323.984"," 9528.743","10030.012","10033.263"," 9690.863"," 9166.393","    0.000","11310.270"," 9240.619"," 7274.718"," 8338.600","10576.597","    0.000"," 9785.765"," 9002.587"," 5033.102","    0.000"," 8975.820"," 8876.176"
"M729.273T847.264"," 4374.902"," 4393.110"," 7325.985"," 2036.154"," 5263.055","    0.000"," 5516.980"," 6931.753"," 6235.335"," 9894.170","11739.334","    0.000"," 5757.654"," 4856.499"," 5046.737","    0.000"," 6924.271"," 7109.119"
"M417.764T850.924","4191.7056","2662.3884","8193.2447","5017.8899","4759.0500"," 233.5256","5254.7986","4717.7189","5072.8872","4555.1184","5698.0613","   0.0000","5042.0380","5971.8966","4034.0622","   0.0000","7150.8377","7884.7851"
"M653.752T320.843","23793.6500","23636.5805","29726.8734"," 8555.2885","19254.1230"," 1016.8586","30955.6255","29532.9899","13245.1257","20612.0906","27573.0164","  842.3687","24055.4942","24828.7530","18745.2710","  675.0000","20695.3503","23136.7953"
"M683.129T316.242"," 4839.825"," 9181.036","12580.554","11297.073","10123.095","    0.000"," 7868.436","11797.298"," 7629.404","11191.516","13995.497","    0.000","10378.988"," 2785.545","10860.255","    0.000","13286.662","14402.974"
"M653.783T316.318","11901.3256","11296.2251","16749.9303","16819.9688","10174.9921","  870.1269","16007.9958","12254.1932"," 6226.3667","12782.8263","17100.6736","    0.0000","13890.1757","11570.2068"," 6892.5056","  188.0000","15019.9869","12387.2303"
"M489.058T766.222"," 7766.948"," 4286.214"," 5507.375"," 9211.393"," 6416.169","    0.000"," 8024.506","11453.823","14631.681","19926.977","12275.824","    0.000"," 7339.387"," 8851.533"," 9490.602","    0.000","20016.799","16691.820"
"M851.819T1425.446","8015.525","2638.100","2317.474","6389.947","2359.538","   0.000","3586.519","5591.543","6875.562","5237.859","6651.046","   0.000","7542.301","4541.104","2451.819","   0.000","6540.259","7850.025"
"M530.968T106.005","5426.3441","4850.9530","5602.5690","5372.6962","3726.8369"," 667.1766","5105.7437","5443.5259","5583.4775","6063.3757","5245.0886","   0.0000","5337.3225","4645.0971","5654.9775"," 537.0000","5830.2525","6958.1924"
"M1009.607T1323.757","23615.9042","22055.4953","31527.8409","18395.3471","25510.1865","  404.3935","20162.1021","25389.3480","21821.3785","20605.5410","23676.8392","  565.9592","14166.0000","18624.0314","21710.3333","    0.0000","37239.9703","26108.7727"
"M653.717T312.26","16423.140","16609.795","24072.505","14635.728"," 6711.936","    0.000","14940.216","19491.633"," 6930.504","13884.261","11336.794","    0.000","11982.707","13978.344","11735.517","    0.000"," 9584.751"," 9450.134"
"M1031.899T1225.646","8242.321","6853.476","7898.353","5885.140","6120.449","   0.000","5859.841","6378.476","2245.775","8457.300","5568.432","   0.000","6094.914","3865.605","8669.342","   0.000","7332.937","5578.952"
"M297.119T136.686"," 9275.745"," 6506.859"," 9332.398"," 7232.706"," 8990.599","    0.000"," 7481.865"," 9391.644","10243.443","10786.544","11099.205","    0.000","10132.813","10287.410"," 7189.846","  171.000"," 7689.903"," 9379.103"
"M769.419T945.253","11024.960"," 5514.346"," 7594.777"," 7599.730"," 8267.139","    0.000","17432.052","10676.677"," 7678.328","10423.188","19006.371","    0.000"," 8196.908"," 8000.597","11528.099","    0.000","11616.909","11592.869"
"M1201.918T909.936","4997.6554","4024.2185","6655.2093","4402.0801","4470.1815"," 849.0783","7005.2492","4779.8010","5262.6136","4884.3472","9622.2271"," 406.3698","4921.5526","2848.2730","4860.6936"," 291.0000","1768.0583","5719.9841"
"M864.188T806.912"," 6533.493"," 9843.548"," 9562.412"," 3209.231"," 3579.953","    0.000"," 5011.644"," 9031.627","10461.149"," 7681.674","15028.761","    0.000"," 6764.500"," 6576.552"," 6526.998","    0.000"," 4950.908"," 4625.673"
"M865.489T1291.829","6501.877","7897.270","7517.913","3451.887","7487.476","   0.000","5368.034","6590.229","6061.689","5461.275","5945.205","   0.000","5040.527","5016.818","4699.869","   0.000","6333.346","6245.556"
"M799.191T949.166","3446.309","4857.040","5466.086","6262.877","6448.499","   0.000","7689.211","7018.879","7011.997","5192.966","9069.044","   0.000","5520.220","7536.847","5121.462","   0.000","5154.799","2807.173"
"M1263.489T907.902","13780.149","17957.501","17757.139","11891.301"," 6292.533","  631.348","27051.354","11881.757","13453.549","12163.350","17747.781","    0.000","12363.036","12469.127","19739.645","    0.000"," 5090.007"," 7701.567"
"M451.174T880.577"," 5203.879"," 1291.037"," 9016.923"," 3750.257"," 3538.292","    0.000"," 4227.617","12759.830","12834.863","12464.218","14104.203","    0.000"," 4381.817"," 6916.654"," 2965.568","    0.000"," 4925.934","10520.500"
"M405.08T802.267"," 9206.288"," 8534.273"," 7725.993"," 6553.556"," 9137.104","    0.000"," 5496.159"," 7695.661"," 8738.974"," 8302.522"," 7869.447","    0.000"," 6286.894"," 8241.683","10784.023","    0.000"," 9789.098"," 8895.520"
"M309.119T137.634","21811.2508"," 7463.2974","26047.1700","22004.6308","23940.4991","  280.7198","29035.9720","23215.3810","21987.7846","26038.1648","26332.4746","  994.2271","20017.0782","15601.6040","18114.4259"," 1160.0000","30061.8834","24818.9270"
"M385.077T746.611","15914.8104","17505.9651","20019.9396","18949.0556"," 8943.2743","  234.1854","20081.3900"," 9182.9460","11291.8724","10583.0125","18320.6733","  201.7368","11255.0130"," 6829.0813","18457.9462","    0.0000"," 6935.3268"," 6389.9746"
"M1030.642T1193.369","13580.7868","13920.2384","19958.6655","15183.9109"," 4408.6177","    0.0000","17290.1824","14841.6466"," 4950.6355","11435.2394","17715.2147","  271.8044","14405.3373","10610.8989","15883.3930","    0.0000","12667.7033","12515.6629"
"M429.414T851.13","11159.6007"," 2220.5555"," 7852.4297"," 6741.2578"," 5871.1082"," 1251.0889"," 6661.0840"," 8449.2201"," 5539.1154"," 4052.7139"," 7343.5644","  199.4384"," 2774.3108"," 9847.8848"," 9761.6039","  493.0000"," 7727.4939"," 8520.3088"
"M723.577T942.094"," 4129.017","15287.442"," 5854.555","10414.508"," 4109.775","    0.000"," 9253.521"," 7475.969"," 7544.792"," 7802.298"," 9404.156","    0.000"," 3994.397"," 7588.481"," 1685.128","    0.000"," 4735.515"," 5047.012"
"M1071.439T878.893","10812.482"," 2224.719","15106.504"," 7969.976"," 4952.588","    0.000"," 8613.063","16056.956","11954.541","15578.158","14561.970","    0.000"," 8748.660"," 9521.781"," 7098.527","    0.000","13021.559","17714.270"
"M1069.501T1402.821"," 9880.502"," 9399.040"," 6711.994"," 9459.285","12236.984","    0.000"," 8298.607","11338.145"," 7893.542"," 8797.952","12674.492","    0.000"," 9424.939","10136.060","11143.121","    0.000","15518.263","10538.063"
"M281.07T709.104","2757.234","3888.560","3883.094","2789.028","3337.227","   0.000","6673.238","3189.036","2899.095","4347.627","5983.479","   0.000","3636.582","3857.008","2420.763","   0.000","2463.117","2591.170"
"M577.137T781.037"," 61698.73"," 71085.31"," 28336.00"," 25667.35"," 28828.04","     0.00"," 54492.98"," 80993.60","117956.75"," 37836.56","135446.60","     0.00"," 20658.15"," 45058.22"," 29306.98","   276.00"," 15069.48"," 19783.20"
"M397.075T138.684","11019.678"," 9412.801","17156.092","11319.278","14340.869","    0.000","19971.051","13430.491","13292.667","10029.900","18834.846","    0.000"," 6512.879","11736.444","13567.708","  204.000","11589.240","14647.362"
"M653.861T317.501","20752.130","16795.816","25850.464"," 9654.872","16932.013"," 1271.553","26652.362","25376.302","14625.791","24171.468","22764.202"," 1187.644","20094.127","20268.866","18151.564","  847.000","22907.900","24154.574"
"M375.104T216.821"," 7449.8030"," 6916.9771","13251.4047"," 8101.9373","10434.2802","  705.7226","10576.1092","11755.1028","11385.3225","13089.2253","11278.4733"," 1774.4321"," 8820.1971"," 8199.7258"," 9199.5226","  393.0000","11860.5891","14998.3855"
"M384.097T310.658","53177.82","55039.00","70831.09","60812.15","63242.30","    0.00","82470.45","65150.73","53119.54","74788.94","55749.11","    0.00","57242.01","59745.85","65019.81","    0.00","51345.57","68445.75"
"M351.085T316.423","44561.50","40340.70","53249.46","48853.67","47817.17","    0.00","54035.19","48415.49","39512.47","54116.31","52768.10","    0.00","43899.65","48681.15","47535.12","  188.00","56131.48","54037.70"
"M460.969T105.772"," 5607.1730"," 8705.4387"," 7079.5975"," 8997.7022"," 8608.2193"," 1113.9258","10681.5083","10174.5936","10353.2135"," 8707.9661"," 7771.9585","  896.9235"," 7609.8811"," 9126.7998","10204.7272"," 1110.0000"," 9704.4923","11187.4106"
"M665.267T889.419"," 6081.3928"," 6133.9099","10037.3939"," 5129.9092"," 5223.1892","  493.4003"," 4899.3073","10289.1620"," 8077.5212","10370.9483","11202.8660","  419.9263"," 6563.6127"," 5759.1149"," 7042.3399","    0.0000"," 7012.8707","11258.4452"
"M969.939T315.438","15091.925","10764.324"," 6183.624"," 8487.705"," 8386.644","    0.000","16520.224","14632.555"," 5595.210","16376.818","23625.451","    0.000","12246.219","11121.662","11215.289","    0.000","21914.104","12745.109"
"M289.065T88.687"," 8832.5937","17710.2429","27687.5088","15445.1484","15664.7520","  412.5859","24766.7571","12561.5369","15431.5832","16116.8104","25025.4624","  190.2908","22907.3040","22846.7339","17342.8512"," 1250.0000","26604.9937","25073.7896"
"M289.086T1163.856"," 5789.4471"," 3920.2336","10667.8624"," 4409.1582"," 5726.0067","  542.6910"," 3954.2842"," 5732.5674"," 5949.3567"," 9012.4154"," 7665.3797","  340.2681"," 4269.5629"," 5798.2355"," 1177.0312","  347.0000"," 6658.1956"," 6421.2978"
"M655.873T943.419","24102.33","25769.47","25574.35","23694.61","26660.41","    0.00","14746.19","25038.07","41440.49","28366.23","33054.66","    0.00","23028.43","23227.04","27333.05","    0.00","24205.02","25849.67"
"M642.242T817.768"," 6164.0405"," 3622.0131"," 5576.9673"," 4687.1506"," 3440.4276","  285.3909","19048.6753","10405.1424"," 3469.0027"," 6094.2613"," 7964.3973","  425.6202"," 4966.0565"," 4320.3768"," 6874.7284","  210.0000"," 8877.3253"," 5204.9264"
"M695.12T755.765","2907.1973","6922.0117","5082.5034","1844.4954"," 739.1153","   0.0000","5508.2576","6346.6239","7514.8227","4382.4864","6596.1450","   0.0000","4888.1643","2715.3087","3016.3629","   0.0000"," 178.3670","3461.2378"
"M487.016T806.181","2966.0623","1445.9620","2591.1313","2082.5340"," 563.2774","   0.0000","2548.1177","3268.4915","2467.7783","2265.0146","2819.8976"," 192.0204","   0.0000","2305.6875","4014.8716"," 220.0000","1735.4048","2548.1793"
"M967.561T1349.704"," 6758.5232"," 5764.0565"," 9536.4997"," 7672.7326"," 8894.4934","    0.0000"," 8845.4126"," 8327.1129"," 8264.9476"," 8232.5864"," 8163.3755","  350.9875"," 6755.2693"," 7196.2282"," 7443.6668","    0.0000","11803.3918"," 7645.6605"
"M821.606T900.199"," 4540.799"," 3023.310"," 5304.173"," 4277.472"," 6345.487","    0.000","16743.159","11451.084","10772.851","11284.148","14933.021","    0.000","10041.229","10861.219"," 9617.511","    0.000","10599.235"," 8865.073"
"M1095.063T894.34","35879.23","54692.09","42110.17","16874.24","15565.44","    0.00","30454.29","47202.42","59051.79","40056.75","43096.16","    0.00","22011.67","32931.03","32803.36","    0.00","11627.06","13941.51"
"M279.139T1150.344","   0.0000","   0.0000","   0.0000","   0.0000"," 176.3313","   0.0000"," 192.6727","1153.2784","3148.7337","2007.2539"," 387.8876","   0.0000","   0.0000","1330.6201","1804.9098"," 134.0000"," 332.8082","   0.0000"
"M579.301T894.416","27176.0772","31047.6480","39447.1788","31907.8979","28276.7263","  836.4977","43862.9723","27227.1271","21621.5121","22809.0790","27113.4653"," 1686.9012","25379.6757","29212.9654","36567.8323","  262.0000","47453.1428","35178.5427"
