"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"Sodium_Formate","3667732.211","3667732.211","3667732.211","3667732.211","3963239.209","3909794.3","3819856.076","3934423.297","3867787.496","3442128.325","3960498.029","4034768.1","3834773.912","3778849.129","4038727.883","3998858.02","3805401.884","3801631.212","3974273.447","4037491.87","3920796.465","4069492.77","3868513.993","3927944.588","3923775.51","3741009.216","4053881.971","3999727.821","3766924.043","3339943.862","3555482.54","3964439.746","4037001.94","4030308.581","3922005.864","3890744.446","4045781.04","3879945.02","4104743.934","4024050.372","4024050.372","3845070.71","4035455.455","3797962.57","3837317.869","3790177.391","3735044.78","3901010.182","3528207.642","4862691.729","3959808.028","3945214.242","3800062.662","4006431.121"
"M177.034T19.126","14239.351","14239.351","14239.351","14239.351","19733.388","18842.358","17435.418","20605.579","21229.5","13628.686","16036.001","18877.457","20036.281","19243.819","18212.249","19261.612","14048.781","19630.716","21219.123","20357.753","20064.37","19847.364","17467.839","22888.46","20053.708","16298.454","20071.162","20099.011","15351.881","13540.051","13510.572","22156.27","20901.726","19094.36","18176.607","18312.747","20635.722","17480.776","21816.403","13759.445","13759.445","17881.863","18384.704","17237.83","19688.773","20785.611","16277.832","19810.504","10457.278","21643.036","18869.086","19171.878","19176.808","19655.489"
"M222.962T20.134","7831.761","7831.761","7831.761","7831.761","12466.884","9249.751","11404.852","13399.117","12111.611","9189.196","11129.267","11472.314","11222.485","12432.776","10643.512","11426.722","10415.266","11915.64","13468.581","11936.384","16268.66","12907.323","14781.54","12251.614","12590.331","9960.544","12720.554","12787.769","10192.548","8694.926","8372.283","12549.3653","13835.416","12415.134","14458.05","10442.638","11464.906","12624.191","13926.501","7984.255","7984.255","9227.6","11494.011","10437.218","10389.074","10387.779","10429.606","11679.061","7870.689","13717.592","13258.976","9711.829","11869.502","10609.734"
"M243.886T1577.62","350747.628","350747.628","350747.628","350747.628","348207.64","362407.327","426822.766","394495.495","351297.408","365270.46","379356.129","357526.751","401168.08","371685.82","402961.927","392822.82","375213.99","369978.88","357122.383","343382.598","308061.851","404819.29","341850.96","365099.806","386255.511","371706.724","382193.847","382597.133","351246.359","364874.987","289778.441","406719.72","397372.952","416056.737","335261.576","360691.084","354908.591","319421.816","363939.956","348972.836","348972.836","357483.587","409027.169","363639.994","372493.264","327806.166","332785.131","348513.029","359203.148","312984.538","351055.332","397880.832","332450.727","370817.542"
"M247.083T835.562","35107.675","35107.675","35107.675","35107.675","20959.7207","96769.172","129228.775","88914.734","109054.728","104339.306","140271.622","86975.38","94568.309","150929.22","123135.538","140679.468","130128.152","97445.94","123124.252","36564.467","73653.616","42899.044","21223.08","92014.853","105286.535","112101.917","133797.643","97011.508","95289.6","42090.599","68280.035","45613.125","50584.03","45073.635","116437.432","77751.155","148362.162","119347.449","43853.307","92799.441","92799.441","113814.467","125296.99","125796.241","148485.943","126203.926","95853.384","96320.423","94526.177","59994.781","142465.324","141640.472","117626.346","112268.86"
"M250.958T20.121","15604.536","15604.536","15604.536","15604.536","19394.263","15643.76","16992.949","19913.474","18165.919","14270.826","14726.217","18772.477","16948.164","16305.346","17267.648","17645.632","16898.944","18412.022","17858.315","17643.821","17028.416","16221.284","15473.887","15930.374","18792.942","12357.395","14640.689","16684.53","15322.136","11492.088","16142.27","16870.3479","19006.318","15421.513","20357.856","15462.37","16542.04","17096.937","17301.975","15137.713","15137.713","17537.489","17446.182","15263.654","17359.984","15188.996","14803.832","16124.137","13853.282","19907.419","17468.248","17252.326","16804.562","18224.51"
"M274.939T20.136","9732.618","9732.618","9732.618","9732.618","12809.1617","10988.335","14832.521","13782.897","13388.339","9629.467","13566.893","14495.815","16625.533","10372.835","12978.662","16832.346","12326.166","13783.226","14156.346","15337.876","13522.205","12846.424","14434.565","13087.144","13586.325","9659.748","15179.687","15080.606","11602.284","10905.183","10748.738","13877.508","13181.426","13927.349","12963.552","16194.385","14279.019","12848.239","16058.917","13448.222","13448.222","14317.995","15185.577","13195.341","15484.646","13213.13","11268.462","15316.706","12108.752","16798.533","15211.498","13378.691","12262.678","15638.776"
"M286.907T1578.052","152342.825","152342.825","152342.825","152342.825","135123.2684","150051.078","164082.472","164810.076","143587.444","119948.7","166503.427","101944.801","164398.276","125173.21","144386.787","144751.884","129195.258","128449.137","167315.04","171554.259","133501.451","134190.444","157759.935","160436.761","102660.73","141330.852","173488.927","141595.319","172420.748","129521.871","125607.207","136663.4933","157945.42","176294.08","154868.263","157628.941","168338.103","128137.13","163097.193","161784.277","161784.277","152175.73","159081.46","135714.192","189442.316","152644.696","138985.185","136951.584","135919.079","110035.671","147413.027","143350.52","143332.764","163413.106"
"M296.921T20.131","8426.706","8426.706","8426.706","8426.706","15488.0547","12980.802","16648.334","15537.222","16340.959","10170.344","16398.238","14797.623","16058.03","16687.951","16086.781","15260.381","14169.143","16407.544","14846.225","14959.515","16428.806","14065.346","17068.685","14616.876","13692.11","10477.663","16302.17","15760.177","12583.505","7479.864","8033.732","14457.2254","15173.384","14228.537","14144.288","14225.291","16695.938","13761.792","15424.381","11452.032","11452.032","15111.922","13388.262","13937.869","15268.074","12893.561","14650.635","14207.934","7028.29","18522.798","13823.637","16001.126","13389.334","14316.822"
"M302.934T20.131","12535.041","12535.041","12535.041","12535.041","22550.9698","16334.828","20949.914","23576.704","19884.885","11823.593","18608.256","19277.66","17416.092","17458.779","20140.666","22678.93","19376.058","20399.147","18764.051","21293.573","19016.88","20432.962","19257.344","21177.342","20380.986","16250.625","17325.511","21384.421","15510.661","12736.094","13754.076","19935.628","18682.021","21991.778","21575.916","18069.555","22463.188","20623.381","18585.164","17805.256","17805.256","20731.255","19458.2","18126.216","19904.24","19789.19","14013.916","21968.427","12566.19","22648.739","17944.219","21232.469","18764.753","18874.454"
"M309.131T17.119","15850.487","15850.487","15850.487","15850.487","27364.8309","18826.025","18763.17","19362.775","18043.091","17277.74","25544.912","17678.315","18429.122","16658.796","17752.729","18546.437","23201.784","17745.385","19629.968","14573.954","17894.538","26752.117","18345.08","18614.411","18327.144","15046.496","15634.419","18361.606","17095.007","24162.67","16117.188","27377.888","16578.653","14956.611","17821.367","15883.886","19472.915","16760.932","17482.384","27187.941","27187.941","17821.304","19142.878","19568.97","15099.017","25574.844","17694.727","18125.075","18254.6","21417.008","16316.936","17510.02","15735.064","18655.845"
"M337.056T22.131","6951.791","6951.791","6951.791","6951.791","11147.1394","8571.461","8894.604","11229.083","10302.949","9317.688","10695.992","11317.848","10593.281","11142.579","10672.999","11510.794","9138.304","9600.414","11077.635","11652.854","10743.725","10060.842","9992.231","11747.205","10937.204","8980.389","11216.588","10432.307","9617.172","9846.051","6356.627","8788.286","11868.023","12298.786","10076.138","11266.096","9381.392","9330.051","10324.882","8815.64","8815.64","10027.994","9885.533","9665.789","11319.944","9952.875","10003.046","12860.466","9027.506","6809.268","10507.428","10536.633","10118.264","11368.002"
"M354.284T1595.998","293349.517","293349.517","293349.517","293349.517","249677.1094","286994.51","398638.309","273143.052","297313.026","306342.241","250054.881","345450.98","264620.889","278282.377","339588.368","331685.953","288891.567","265700.48","410734.514","278626.434","334069.456","296034.09","275435.039","415975.808","374704.619","354686.92","386024.464","314732.096","273940.043","232294.135","279247.653","318547.2116","300500.005","285133.475","371655.46","297104.297","309683.02","412745.829","342977.578","307841.389","307841.389","306577.993","271068.599","316915.582","338344.21","360870.161","300546.333","331634.248","312938.861","315555.306","301444.845","302585.303","297094.796","320894.665"
"M364.909T21.126","4526.182","4526.182","4526.182","4526.182","8203.6416","6785.073","12076.118","9265.569","9081.413","4151.105","9053.819","12735.335","8039.043","12372.517","11716.789","9262.169","7967.832","8888.352","9350.107","9124.934","11133.624","9041.918","12307.232","9153.863","9426.828","5848.491","12228.806","8456.246","9229.027","3635.63","4205.708","9270.6335","9183.468","11134.424","13612.741","11651.055","10159.884","10906.99","10015.958","10609.264","10609.264","10886.561","12395.539","9637.251","13061.32","8154.77","8019.162","10705.468","6919.889","13476.1","14344.688","11809.408","7757.018","9544.665"
"M367.151T397.982","10528.091","10528.091","10528.091","10528.091","12049.2581","20223.106","14690.382","16278.311","9983.923","9385.526","8912.199","15757.944","12377.052","13498.736","18719.879","140700.308","184738.739","34684.447","167624.171","12077.454","178744.289","5802.907","11124.518","44277.586","25094.232","29068.104","159591","12776.618","27019.034","10714.798","18762.62","12922.3909","11266.696","11505.185","84650.306","34918.822","72280.988","76069.263","11050.034","113055.739","113055.739","122763.122","143189.111","14919.578","32347.825","20065.061","678706.553","478086.296","1679394.86","11394.817","6213.301","67026.118","23010.749","45473.613"
"M372.364T1640.641","167745.462","167745.462","167745.462","167745.462","316354.8058","232496.179","203606.823","161196.935","194280.008","184534.635","229769.552","169317.116","215886.166","214400.715","233510.822","192973.983","240473.541","186482.684","181319.167","454688.191","311076.495","178692.162","320269.373","232948.04","179534.842","186789.263","225833.921","247736.221","170243.564","241599.6","340410.068","213647.1328","191917.953","286215.62","164461.688","227555.34","191568.733","207238.568","190560.887","208986.386","208986.386","223256.756","177409.061","194247.938","185899.851","275316.947","213739.35","199505.662","244702.868","271892.486","234049.502","263085.866","166011.079","186972.44"
"M380.918T17.845","18015.531","18015.531","18015.531","18015.531","35861.8372","20834.316","22805.377","26104.664","24965.57","16534.936","12072.108","24340.258","22733.998","21668.496","21903.488","24402.99","19518.675","24519.582","25887.43","19613.757","24951.851","35186.553","25431.746","22549.446","24619.298","16559.069","22139.931","23347.199","21096.325","16617.667","20073.374","31562.404","23701.948","21867.631","25373.586","22159.686","23412.026","21439.169","27407.5","17212.27","17212.27","20569.524","25229.88","24300.684","23487.123","23927.568","18630.431","24070.016","16377.932","32327.55","23782.088","20397.206","21723.144","23249.54"
"M382.315T1625.896","145649.774","145649.774","145649.774","145649.774","105680.6058","140711.916","178044.712","146141.612","162758.267","167133.881","123550.4","176648.778","125938.236","138012.271","173767.693","149718.384","157976.845","138445.915","153247.218","219912.916","120069.313","156398.857","102816.2","159108.765","140081.166","170498.036","148668.983","167815.286","152830.782","121747.165","126178.918","141443.9096","157844.81","122812.46","227557.303","169276.492","148060.172","136392.215","181594.068","169416.076","169416.076","159608.593","146171.388","211503.046","182954.736","116272.2","161122.754","164342.784","156659.874","119210.777","152616.586","194350.75","139461.291","176772.879"
"M385.292T1611.168","271909.889","271909.889","271909.889","271909.889","244364.9327","261156.98","260233.695","239289.337","255437.714","211774.143","239769.438","227314.721","175825.063","214330.97","257650.354","242216.612","247339.282","243593.357","364815.233","227930.518","248023.967","240838.143","236727.627","236559.688","200103.688","317473.784","245756.226","213170.342","276431.645","210117.672","233272.838","390142.44","205799.586","210703.253","230984.206","233204.146","243226.107","255110.883","241196.141","302128.351","302128.351","304310.552","400615.2","297904.381","253020.052","254450.509","271673.11","286244.072","251251.265","212636.997","294305.305","309441.992","210011.149","231776.221"
"M392.904T19.162","7299.501","7299.501","7299.501","7299.501","10610.5461","8872.538","10946.929","10312.296","11974.157","7219","10012.469","10814.828","10718.428","10974.588","10477.381","11540.518","9608.645","11642.026","10447.952","10158.825","10291.657","9742.311","9912.622","11017.807","10593.405","7835.709","9853.853","11490.418","9449.818","5457.519","7867.425","10732.0088","9959.013","11658.033","9498.632","10489.295","10827.657","9798.776","11651.463","7471.834","7471.834","10798.395","8180.468","10080.15","9992.245","11579.355","8735.855","10337.78","5947.093","12575.112","11687.826","11733.053","9241.827","9561.101"
"M408.915T17.478","22466.905","22466.905","22466.905","22466.905","30310.2728","26577.494","28884.806","31812.122","29057.3","17525.341","26004.549","29449.744","28645.68","26530.275","28421.478","28394.93","24372.78","30589.494","30186.288","29803.264","33741.113","33508.224","29440.74","28218.402","29292.851","20813.114","27097.05","29337.512","24695.346","28360.006","23043.102","33815.142","29624.928","28849.421","30793.3","28556.765","26254.024","26140.186","31377.852","24516.451","24516.451","28132.144","32214.351","27885.406","30914.625","28238.462","24826.002","27830.865","18547.221","34314.105","26499.26","25313.714","25909.496","28565.44"
"M423.199T1618.85","415818.565","415818.565","415818.565","415818.565","484563.5836","945737.022","434600.58","416958.292","423840.58","402432.33","388482.464","397490.642","481609.318","400537.817","1119093.348","403453.925","420673.649","409577.79","398033.657","413388.018","441420","404678.124","352656.164","481371.921","482092.499","395558.128","438914.722","502654.237","464735.211","464009.602","534170.549","466856.79","377382.022","494722.857","943076.319","858965.68","440063.153","397446.147","477392.676","492705.544","492705.544","409172.432","378508.86","482478.302","439639.882","1132386.88","462435.977","505284.948","398866.647","439559.501","474766.805","439105.318","416816.417","1007803.669"
"M428.917T12.217","9297.523","9297.523","9297.523","9297.523","8583.2602","9297.53","13217.657","9243.3","9458.41","9180.538","9265.714","9142.151","8328.912","9003.138","6637.315","18862.121","6549.963","8942.97","9981.886","8842.501","10541.238","20525.693","9374.445","13386.256","9617.488","8186.004","8680.237","8890.358","8842.649","9468.575","8695.873","8261.3868","10377.683","18112.675","7804.264","9791.104","9518.545","9561.437","8866.816","8670.421","8670.421","10278.862","9999.91","9566.712","9047.06","7907.046","8916.247","9345.954","8519.174","11301.307","11287.892","9046.645","9259.855","9670.94"
"M465.262T1356.121","75437.594","75437.594","75437.594","75437.594","29343.7573","121472.168","157661.223","157236.803","68899.915","74709.977","179461.258","32289.157","42751.348","189064.099","197313.061","88091.513","104605.599","136375.293","138597.742","122796.783","62691.221","10970.695","22610.496","138739.794","134361.82","108517.486","70263.73","177233.962","148892.018","54250.833","90387.369","70615.6239","155557.923","103468.819","119590.567","124725.521","119294.028","186263.303","119093.083","93678.16","93678.16","57785.546","58963.21","200401.447","132591.64","72058.486","120171.207","141079.566","116383.341","60844.697","89991.774","196416.311","62011.69","71029.717"
"M468.418T1628.573","538526.98","538526.98","538526.98","538526.98","720348.6632","491928.69","454451.673","556922.707","494346.481","494910.24","831426.599","401633.462","533971.584","525691.284","530467.224","603362.137","542763.941","1075071.265","569715.396","631566.832","599908.292","531216.404","680025.961","549803.664","483769.462","643525.166","426574.912","572234.44","643757.907","662490.467","628881.42","650670.7855","611993.423","524766.122","579643.146","811128.341","525412.13","557353.366","508473.297","628074.78","628074.78","426791.69","546895.688","566746.353","512028.67","534620.795","1147340.921","613220.884","614329.709","694111.795","519042.952","590892.649","765754.908","503251.044"
"M468.42T1635.273","609591.034","609591.034","609591.034","609591.034","670655.8378","562909.804","717534.659","637181.766","564322.667","638318.593","641613.098","596728.644","555095.781","769522.076","655494.473","611482.285","658719.572","853141.443","628187.84","593997.757","705639.133","575872.855","686245.876","643936.713","555696.707","695656.387","632415.7","680563.041","653844.207","563406.371","639094.035","601100.9742","891091.194","643806.502","434585.652","619189.918","574057.104","603651.967","634806.587","633374.694","633374.694","645697.487","613772.796","670677.917","443954.291","669002.002","953352.203","674591.716","633197.338","763939.461","618055.789","648027.432","713617.909","573223.818"
"M480.892T18.142","7463.249","7463.249","7463.249","7463.249","21310.3689","12104.204","14816.475","15285.921","13692.056","7852.776","14607.617","14899.225","16274.678","14841.01","12393.121","14768.916","12604.353","16330.846","14816.614","20963.492","15320.358","11879.165","17829.389","13382.026","15107.38","10048.249","14503.259","14981.36","12876.698","5964.206","10093.699","15993.2745","13931.67","23302.389","14724.571","12418.655","14489.841","14228.578","14875.807","13179.883","13179.883","14430.483","15417.926","13312.627","13283.732","12012.006","12111.514","14147.039","8583.965","14426.34","12288.756","14747.922","16391.026","14481.314"
"M496.906T15.036","37492.089","37492.089","37492.089","37492.089","76691.2457","41759.642","48528.257","48246.601","49833.977","62836.952","45509.657","46465.577","46135.994","45203.514","41463.147","48059.748","41396.29","39847.184","42442.948","76830.705","46742.445","73969.116","38570.976","47746.812","47125.645","34636.481","43732.381","47456.462","40859.441","61349.399","61300.87","74029.424","47204.486","74767.438","46622.829","37433.35","49000.562","44930.769","77132.315","40334.914","40334.914","46063.778","49178.109","45457.966","47011.937","42996.604","40636.201","47191.745","39981.586","46032.427","49427.84","44065.802","45231.288","47776.902"
"M516.891T17.488","17577.984","17577.984","17577.984","17577.984","34139.9695","17423.892","22590.36","22460.8","23990.776","14565.531","19345.114","23808.593","20537.428","20766.31","21827.385","21573.228","10132.291","20691.89","23947.628","32020.427","23014.174","35262.55","22393.8","19101.633","23112.411","19955.688","22155.25","24013.002","18434.082","12598.519","18324.467","30655.692","20761.518","28195.999","20576.623","18150.053","20070.357","20224.882","34672.835","17205.017","17205.017","21103.12","22159.131","21213.45","20176.421","20908.538","18453.417","22219.093","14200.624","16082.773","20448.333","19602.261","21264.444","21385.966"
"M516.892T11.105","9738.453","9738.453","9738.453","9738.453","9873.7129","9457.213","9706.248","10310.333","10120.261","11543.98","11572.614","11937.838","8518.083","9795.143","8917.796","10550.331","19312.789","9759.021","11434.983","11637.523","11323.816","12386.936","10783.25","9906.955","12186.002","12863.358","10205.992","7800.459","11981.454","10723.619","11008.204","8805.9571","14248.618","9300.624","12621.241","10169.021","11943.724","11073.994","12132.461","9915.658","9915.658","12708.01","13193.462","11457.045","11700.998","8856.814","10991.241","13171.396","10952.97","25168.129","10247.706","10387.017","10008.37","10202.902"
"M534.88T16.971","16048.471","16048.471","16048.471","16048.471","33126.3672","20043.952","21640.922","19516.831","20101.269","14517.221","22486.063","23274.921","20360.9","17209.206","22240.813","22104.114","20467.587","22350.852","22866.394","31977.697","18895.647","33445.265","13203.613","22850.346","20981.736","18204.45","21233.224","21434.021","18714.876","25981.127","16611.619","35295.57","22821.017","32765.287","22996.603","17028.771","22386.96","19906.367","20786.863","18042.46","18042.46","21379.948","20532.497","31429.403","20129.349","18342.864","19102.805","21073.043","16003.868","23542.565","19412.062","18613.674","18166.336","18039.958"
"M536.899T13.11","13835.512","13835.512","13835.512","13835.512","13252.7674","13589.187","12631.782","15199.467","16331.435","19565.874","13544.512","16659.067","14039.8","11969.047","12867.93","14891.006","12794.027","13906.062","11318.225","22691.358","12315.499","24483.017","14737.229","14438.794","14955.776","15435.051","13928.073","22878.362","13678.647","13724.458","15842.484","23773.106","12330.882","14024.838","14639.965","12278.726","14066.072","14600.873","24005.632","22413.182","22413.182","12629.776","15034.97","12218.115","11084.813","12882.864","15122.727","16481.296","13994.688","14758.272","12476.838","10070.12","15030.466","13095.961"
"M544.888T18.116","16499.335","16499.335","16499.335","16499.335","22514.9819","17833.34","23571.154","23660.046","21964.968","14026.067","20085.223","23714.297","23408.014","22083.501","20784.557","22124.174","19340.857","23269.6","25225.552","24932.309","23524.748","26164.258","22323.22","21373.93","20472.139","15191.038","20650.623","21666.65","18349.844","12237.802","15686.08","33869.304","24451.663","20305.801","22607.799","19481.539","22286.66","20042.794","25269.297","18100.969","18100.969","20280.66","24929.467","20397.008","24632.616","23040.916","16700.416","22460.8","13687.372","27038.151","20484.632","20879.261","20928.598","21879.442"
"M573.464T1458.338","20605.445","20605.445","20605.445","20605.445","40220.0068","224016.265","327422.743","177365.447","200069.187","277965.078","246798.067","140114.694","90939.283","162401.265","244713.407","419789.597","436507.684","361915.711","308896.224","18535.284","351597.174","6304.365","34647.357","204181.39","168801.52","326093.34","160826.197","510741.458","439920.455","23596.176","362192.783","21405.3486","93788.82","26105.455","211785.71","186227.869","131800.085","64692.192","20756.547","259700.468","259700.468","321061.515","261907.533","508441.618","313247.872","367696.13","521981.812","484710.214","303896.783","346276.033","369242.9","199974.451","202726.496","432995.858"
"M575.48T1424.867","572.2192","572.2192","572.2192","572.2192","7391.4736","203425.61","452210.292","182909.125","155703.021","223525.625","222623.83","135261.444","96640.683","162987.364","203931.869","350204.63","555728.929","357414.302","250895.039","572.2192","256733.333","572.2192","29251.055","193011.484","128092.606","255969.09","150319.248","317688.872","350246.618","2861.096","273866.761","6838.8574","75003.485","39140.041","204077.47","184329.492","133238.83","9547.894","5653.759","252221.125","252221.125","224998.555","262074.165","366257.215","275484.431","300828.971","398715.044","286858.071","346509.731","280209.753","317793.748","180683.365","191251.648","463836.764"
"M591.475T1442.976","16810.167","16810.167","16810.167","16810.167","60521.6681","194575.356","298710.905","163814.633","211967.347","270201.816","185223.836","103115.565","114751.029","116141.363","192339.283","380837.41","391310.559","308588.598","316512.214","32129.559","428745.364","21679.727","89845.906","191954.902","82077.624","205923.376","115553.242","433780.277","436218.346","25580.958","419808.415","30185.8648","72155.2","27867.731","177124.338","165293.067","129873.989","48748.609","21034.009","244904.274","244904.274","276211.158","214161.082","512783.474","242030.031","337789.004","561284.447","451957.946","304918.857","307750.901","286444.39","136593.082","207577.639","414345.261"
"M602.869T15.948","23591.404","23591.404","23591.404","23591.404","45517.9562","19931.616","30466.628","30320.075","31541.863","21322.923","29201.194","28074.622","19584.578","32045.637","33518.569","20278.654","30453.78","25405.78","26104.078","44062.84","29709.079","43600.799","26817.769","26384.545","31041.253","28563.434","30801.207","30592.813","27719.497","36499.17","39819.3","43807.028","32847.583","28189.278","30149.897","25364.804","25115.12","31058.898","46667.718","23980.32","23980.32","29397.253","32590.851","29323.708","31082.554","28132.144","28602.069","31218.507","36115.612","24144.213","24565.405","34053.856","47050.477","31271.534"
"M612.874T18.123","11716.753","11716.753","11716.753","11716.753","18226.11","16147.703","17320.801","17894.558","18123.634","11886.327","14350.222","18022.147","18046.976","16820.751","14583.202","17289.714","15672.84","17969.748","17937.609","24328.72","21333.114","19145.264","17441.834","17195.432","18375.571","15885.514","16614.976","18073.981","13801.539","10720.892","13240.823","25410.002","17804.726","16510.493","18057.721","16947.911","18429.122","15641.375","18469.85","16239.017","16239.017","15354.788","20201.075","18622.429","20002.989","15322.209","14367.433","17438.846","11642.162","19489.181","17668.848","15668.906","15914.281","18161.104"
"M612.876T11.11","7839.632","7839.632","7839.632","7839.632","7415.5348","6766.038","8114.994","8674.77","9165.784","6755.098","6690.24","8212.589","8429.854","9693.065","10451.182","9464.308","8551.878","8876.786","9513.314","8717.407","13658.085","8603.595","8473.382","10565.501","9334.206","9580.846","7192.337","7371.907","6841.122","7485.843","6741.027","7693.979","10814.68","6233.469","7341.314","8053.895","10180.45","8752.438","8442.154","16236.257","16236.257","8231.384","12517.44","8512.732","9347.404","6518.123","7868.684","9979.339","8465.938","8598.368","8969.043","7216.667","8294.196","8049.647"
"M626.856T18.124","14638.808","14638.808","14638.808","14638.808","21060.3276","17676.872","20430.425","20483.447","19681.494","14437.37","19927.126","20434.001","18921.896","17676.825","8553.584","19295.714","16483.24","18848.376","19577.82","19710.421","18377.577","18501.165","16837.971","20697.908","20634.649","14880.901","18716.675","21177.631","18482.657","13864.826","14261.712","20280.66","18692.376","17490.808","20131.209","18382.535","19604.638","16670.625","22500.011","17500.169","17500.169","19508.109","21097.102","17855.406","19152.305","16616.694","17288.134","19053.577","14621.734","21450.828","19061.634","20520.844","19537.809","18924.604"
"M626.858T11.105","7548.654","7548.654","7548.654","7548.654","7965.3169","9010.952","6348.943","7477.097","7980.709","7693.977","9709.04","7768.719","7567.619","7230.465","7573.426","8039.286","6247.155","8166.939","7731.597","9947.754","7440.734","7283.976","7867.854","9658.97","8674.203","9144.877","6979.736","8784.319","8217.774","7912.7","8859.528","9885.568","8541.548","5941.731","9961.815","9051.072","9486.374","8289.951","7436.801","8170.564","8170.564","7003.809","7711.064","10675.809","7189.693","6133.936","8083.686","9366.308","7763.149","10822.784","7363.405","6597.865","7412.048","9969.854"
"M631.468T1459.998","35823.561","35823.561","35823.561","35823.561","68235.9043","412208.265","591543.808","268902.477","448006.989","445937.965","324867.256","220797.079","155948.632","262671.785","459914.672","600585.72","724316.024","479724.912","457474.182","36074.581","658895.415","32942.645","47366.362","329979.254","327677.409","536931.587","209355.884","766409.738","651419.334","58733.882","730394.534","43684.7394","127396.813","49627.531","298898.561","308431.546","217504.366","104003.463","29527.621","428102.64","428102.64","556866.495","448276.645","814197.946","503233.464","621900.188","501729.335","665507.945","546436.595","607188.14","579159.757","321588.725","350371.027","790406.028"
"M632.472T1474.795","14085.932","14085.932","14085.932","14085.932","40483.1089","182964.99","279545.856","109593.962","184953.296","182243.08","158263.826","100157.43","97344.448","119461.218","208004.032","265286.4","290675.107","204897.556","198129.954","22785.546","304919.333","21125.984","30378.21","162820.412","129417.229","231458.721","112717.202","324133.763","267189.177","12383.443","299996.723","21337.9673","64890.437","31303.597","142508.136","126186.686","125875.129","48904.059","11880.826","182312.62","182312.62","243774.772","199040.549","381257.549","243755.812","286021.569","236130.643","300330.89","234663.029","260219.535","261228.616","162017.785","163784.258","403939.666"
"M633.474T1424.866","189213.783","189213.783","189213.783","189213.783","659752.583","743211.675","1077232.987","560379.462","728324.398","792904.838","758724.119","518608.258","603371.533","624738.809","870980.787","1099613.675","1249652.385","1012227.752","827242.432","176274.33","1106293.644","131781.558","408520.445","637171.09","631262.402","928940.728","550560.669","1072885.979","1229072.763","221048.162","1397496.405","267454.1443","392546.135","219973.876","659929.053","597755.475","565581.498","229329.231","248670.242","862578.989","862578.989","977765.202","827106.209","1158238.535","977071.221","1165333.189","995829.76","1047230.356","1082308.632","1063437.314","1085197.541","799661.093","749747.891","1375094.585"
"M633.482T1643.428","54663.638","54663.638","54663.638","54663.638","255061.5049","157540.5","235517.576","109568.863","121744.164","152415.945","121664.524","86943.695","83774.827","114225.106","232808.804","211387.506","342851.438","156057.116","272869.999","45722.864","626231.362","47673.196","154024.961","172652.966","92993.885","315717.95","140453.865","466717.333","428600.57","26645.681","778993.583","120677.0732","75233.269","48708.551","134113.521","207190.305","97728.091","68304.26","34602.664","218083.786","218083.786","230737.554","179556.818","386471.261","170047.35","240600.7","555535.028","262265.189","191623.205","216334.187","408290.866","143419.373","191988.222","176968.024"
"M634.485T1424.862","86014.864","86014.864","86014.864","86014.864","190697.9309","303601.708","399156.06","270583.07","325095.986","315029.003","275499.022","229276.92","242604.672","290922.4","325515.677","430817.604","495761.199","425647.955","373027.155","97335.055","468864.812","46340.416","172387.089","253244.804","241031.264","372722.657","227322.782","405181.464","424182.568","82333.857","532903.892","87754.3772","160657.006","83097.119","263799.349","285198.441","219618.638","100404.371","79132.803","334435.465","334435.465","389255.557","310459.911","445223.888","407480.248","418483.942","353551.919","465855.019","420364.249","441385.31","450266.491","346394.434","284590.473","606066.133"
"M636.377T13.112","9260.827","9260.827","9260.827","9260.827","9749.4646","9774.416","9711.046","11057.926","11001.151","7754.294","11247.089","9779.816","10832.488","10699.252","9283.717","10893.872","9713.014","10692.649","10732.743","9546.131","10878.133","10126.247","9567.211","10396.388","9476.906","10564.353","10067.554","9390.922","11545.635","8775.783","8719.041","11528.1749","9923.682","9501.526","11450.006","9969.73","10990.477","10651.86","10056.639","10260.751","10260.751","9169.196","9729.893","11251.038","10462.983","9537.205","9182.04","11072.695","9134.691","12329.205","10981.633","10258.684","8749.62","9547.002"
