"","M393.189T1440.567","M513.25T1338.968","M477.343T1423.013","M882.48T1339.403","M652.416T1356.524","M343.224T1621.712","M629.459T1473.698","M423.321T1473.286","M510.367T1523.593","M589.501T1621.712","M578.503T1590.788","M635.491T1472.841","M628.529T1624.373","M628.528T1608.773","M609.518T1624.418","M652.503T1490.314","M558.46T1591.049","M297.239T1626.197","M841.471T1389.363","M545.456T1607.833","M605.416T1473.993","M477.403T1542.988","M477.407T1590.788","M477.398T1574.327","M879.468T1338.726","M630.465T1474.173","M629.464T1456.367","M629.463T1474.173","M449.365T1540.699","M669.539T1543.447","M669.531T1507.08","M669.562T1624.559","M449.369T1557.545","M449.347T1490.033","M535.447T1540.43","M567.43T1421.35","M295.151T1624.873","M492.408T1557.26","M534.444T1557.26","M535.375T1490.352","M534.402T1422.678","M533.436T1590.96","M549.424T1473.203","M516.411T1568.021","M886.353T1006.792","M467.383T1523.593","M329.158T1625.781","M329.157T1608.526","M475.412T1607.605","M494.563T1509.9","M576.484T1557.453","M576.484T1473.551","M575.479T1473.048","M575.481T1540.694","M576.533T1641.124","M541.474T1573.977","M542.478T1573.977","M575.479T1456.772","M640.557T1608.472","M737.493T1439.78","M577.49T1591.335","M618.492T1624.789","M617.489T1624.961","M617.506T1594.034","M549.431T1507.08","M629.529T1601.79","M629.509T1624.418","M660.517T1423.005","M535.409T1440.116","M549.426T1489.95","M471.336T1557.26","M605.427T1490.314","M549.428T1523.962","M533.435T1510.689","M516.434T1624.418","M481.362T1591.564","M325.162T1642.868","M951.603T1424.253","M628.514T1473.756","M1085.421T973.898","M659.418T1406.262","M820.327T1006.792","M813.332T1056.081","M869.334T919.017","M479.188T913.185","M899.349T990.311","M433.152T909.874","M677.438T1339.916","M564.208T942.149","M817.317T940.819","M430.319T1557.453","M832.307T992.353","M956.379T959.199","M438.146T926.75","M313.161T1621.4","M787.545T1575.098","M339.172T1490.329","M523.36T1271.932","M487.775T1256.694","M386.164T943.456","M807.348T918.929","M1123.351T817.469","M889.305T842.452","M919.292T824.161","M1102.351T817.469","M979.313T847.893","M1114.854T834.347","M682.262T843.183","M415.326T1295.888","M465.26T1373.143","M425.216T1401.37","M425.215T1355.365","M556.445T1212.039","M812.538T1253.346","M985.571T1146.934","M772.55T1170.538","M537.533T1295.888","M374.303T1319.161","M847.517T1163.004","M986.591T1195.638","M808.52T1220.972","M771.504T1195.638","M609.455T1145.906","M392.284T1436.378","M828.538T1289.688","M495.298T1036.333","M471.796T1446.028","M471.313T1295.888","M619.438T1245.233","M399.308T1262.042","M443.333T1262.042","M383.284T1439.726","M455.315T1295.888","M341.283T1305.932","M513.307T1059.952","M351.253T1019.694","M285.134T1052.907","M569.292T994.771","M605.427T1212.039","M867.584T1358.969","M331.187T1104.601","M585.283T918.479","M351.179T1358.969","M351.108T857.905","M291.195T1053.001","M465.265T1237.073","M764.518T1295.888","M764.517T1325.086","M691.436T1356.203","M691.433T1253.346","M494.565T1319.161","M494.565T1422.678","M423.211T1338.363","M821.505T1179.269","M765.518T1313.696","M522.261T1109.944","M423.212T1319.031","M523.599T1382.768","M561.396T1195.638","M330.263T1492.022","M545.37T1372.761","M722.259T892.9","M332.328T1440.13","M441.224T1179.269","M504.265T1099.137","M330.261T1473.013","M330.262T1456.934","M330.263T1439.913","M423.198T1506.423","M722.581T1518.016","M722.58T1595.75"
"M393.189T1440.567",1,0.85634,0.25021,0.56235,0.60626,0.63583,0.51688,0.41012,0.49558,0.69466,0.54378,0.45141,0.5682,0.61492,0.41597,0.49364,0.58548,0.61713,0.64188,0.61497,0.43673,0.54258,0.47478,0.47564,0.40064,0.50834,0.60152,0.64967,0.38558,0.46346,0.48893,0.54248,0.25118,0.40747,0.39015,0.55268,0.57132,0.46681,0.44271,0.45286,0.42192,0.05254,0.14508,0.28568,-0.00038,0.00514,0.55103,0.61977,0.65,0.6866,0.44742,0.40161,0.39446,0.39877,0.46516,0.47382,0.46678,0.41571,0.40947,0.54506,0.66384,0.53999,0.49058,0.45955,0.42498,0.55825,0.54335,0.14003,0.43826,0.33687,0.26679,0.3928,0.38405,0.42044,0.48819,0.13391,0.77251,0.77599,0.73759,0.46734,0.44535,-0.2369,-0.05685,-0.18166,0.13478,-0.01977,0.07269,0.03878,0.26958,0.17418,0.27295,-0.35515,-0.08909,-0.07697,0.31536,0.58619,0.57589,-0.15956,0.3095,-0.50157,-0.4534,-0.40762,-0.31925,0.02238,-0.37756,-0.32117,-0.36895,-0.79012,-0.86948,-0.71778,-0.50322,-0.44558,-0.36103,-0.29694,-0.42496,-0.47557,-0.49576,-0.6825,-0.37816,-0.21737,-0.1817,-0.1635,-0.41779,-0.51419,-0.48302,-0.46113,-0.53068,-0.30113,-0.4188,-0.36811,-0.43743,-0.23456,-0.37231,-0.3547,0.19863,0.24659,0.19885,0.23357,-0.31123,-0.46032,-0.34751,-0.28567,-0.5124,-0.38326,-0.45068,-0.2214,-0.02076,-0.05194,0.53294,0.28982,0.1721,0.37452,-0.0769,0.0723,-0.07787,-0.06166,-0.24918,-0.3028,-0.39446,-0.15826,-0.33613,-0.35677,-0.32497,-0.23105,-0.1842,-0.03481,-0.05153,-0.10959,0.05893,0.07764,0.25429
"M513.25T1338.968",0.85634,1,0.346,0.68611,0.60256,0.5681,0.49203,0.38346,0.3206,0.56291,0.45577,0.34913,0.40468,0.421,0.28451,0.33265,0.48266,0.43315,0.45118,0.33019,0.45475,0.67053,0.58535,0.57818,0.55458,0.59102,0.61706,0.57392,0.36987,0.40358,0.4102,0.421,0.20392,0.35825,0.35054,0.52432,0.46477,0.35331,0.27034,0.48449,0.41413,0.05023,0.09097,0.02071,-0.08697,0.11305,0.45743,0.43613,0.42569,0.492,0.32897,0.39146,0.35192,0.35471,0.33358,0.50965,0.36514,0.3848,0.33992,0.60178,0.57142,0.49205,0.42023,0.43589,0.37425,0.42543,0.30234,0.27113,0.42367,0.33159,0.31086,0.46959,0.39485,0.41771,0.39971,0.17167,0.59567,0.75704,0.75859,0.5817,0.59134,-0.20165,-0.01111,-0.12755,0.10119,-0.15948,-0.02434,-0.03167,0.3748,0.23376,0.10357,-0.3963,-0.18804,-0.28357,0.34587,0.24207,0.45403,-0.37629,0.20128,-0.65784,-0.55683,-0.34233,-0.22944,0.09243,-0.34025,-0.14422,-0.14191,-0.87277,-0.84178,-0.81421,-0.62846,-0.59062,-0.15486,-0.1439,-0.32838,-0.47415,-0.3191,-0.48879,-0.46332,-0.16178,-0.15886,-0.19312,-0.29978,-0.43711,-0.57256,-0.50965,-0.3003,-0.22074,-0.29789,-0.34191,-0.40915,-0.20937,-0.42144,-0.39778,0.19724,0.24358,0.13915,0.15114,-0.12465,-0.34637,-0.30905,-0.24577,-0.45449,-0.61914,-0.56597,-0.15597,-0.02776,-0.14231,0.6851,0.47531,0.11914,0.29806,-0.14564,0.00498,-0.02852,-0.03636,-0.3304,-0.38488,-0.12188,-0.11018,-0.18894,-0.18099,-0.06531,-0.05956,-0.02822,0.18553,0.15876,0.09806,0.00964,0.17133,0.30754
"M477.343T1423.013",0.25021,0.346,1,0.51686,0.61995,0.69971,0.59128,0.71493,0.604,0.45007,0.2763,0.47377,0.40604,0.36177,0.34772,0.30521,0.52511,0.39066,0.32891,0.25721,0.39576,0.48061,0.49815,0.60265,0.43704,0.40984,0.44371,0.4116,0.70395,0.76982,0.71712,0.70771,0.34088,0.59536,0.64979,0.58526,0.59348,0.4916,0.50879,0.562,0.54953,0.65996,0.39908,0.32004,0.12123,0.1055,0.36107,0.43337,0.09611,0.06409,0.1582,0.17223,0.13885,0.13374,-0.02174,0.24292,0.07866,0.18345,0.31735,0.22142,0.26789,0.27557,0.27542,0.31053,0.32196,0.31795,0.22974,0.43999,0.55497,0.30122,0.47621,0.44341,0.48373,0.43198,0.28216,0.41432,0.37567,0.1938,0.34251,0.34847,0.06129,-0.03915,0.06235,0.02363,-0.15061,-0.01224,-0.20037,-0.32852,0.15149,-0.01088,-0.19718,-0.06626,0.04228,-0.1249,-0.36011,-0.29753,-0.20502,-0.58314,-0.59998,-0.12615,-0.52477,-0.54251,-0.42533,-0.25774,-0.4462,-0.4352,-0.54973,-0.27785,-0.23016,-0.02406,0.07632,0.10239,-0.21796,-0.17259,-0.35774,-0.38905,-0.24825,-0.1692,-0.27159,-0.11205,0.03997,-0.05394,-0.12277,-0.05464,0.02516,-0.01511,0.2919,-0.01625,-0.0251,0.0409,-0.02675,0.17207,0.12047,0.01981,-0.33719,-0.26091,-0.37093,-0.47916,-0.68104,-0.54966,-0.59246,-0.40916,-0.39512,-0.33559,-0.49458,0.69033,0.67324,0.57952,0.44243,0.36071,0.20279,0.24018,0.02197,0.17591,0.2514,0.03909,-0.09651,0.05639,0.00261,0.14341,0.16549,0.15568,0.18862,0.13769,0.10439,0.48531,0.44237,0.39111,0.4223,0.3677,0.45298
"M882.48T1339.403",0.56235,0.68611,0.51686,1,0.82996,0.63841,0.60719,0.56563,0.59444,0.64136,0.70937,0.60553,0.51869,0.53163,0.3408,0.46326,0.55443,0.34667,0.64708,0.50763,0.50969,0.67967,0.62898,0.67159,0.7852,0.66869,0.7278,0.70122,0.66004,0.55926,0.57729,0.55709,0.64239,0.63957,0.59548,0.59252,0.71661,0.52818,0.44255,0.64787,0.65133,0.30711,0.43851,0.10622,0.32902,0.32568,0.21115,0.27401,0.18652,0.30573,0.3916,0.34585,0.42072,0.41789,0.21127,0.4199,0.27587,0.50165,0.43793,0.58859,0.61321,0.64511,0.55627,0.58681,0.47041,0.45683,0.41196,0.44036,0.52068,0.59577,0.51491,0.5813,0.48816,0.56704,0.26618,0.30424,0.46124,0.46377,0.62381,0.50037,0.34376,0.03937,0.17969,0.10464,0.08534,0.039,0.12509,-0.06332,0.34264,0.1938,0.04208,-0.11762,0.137,0.03868,-0.05555,0.06855,0.08758,-0.53438,-0.17241,-0.39622,-0.41806,-0.45328,-0.24875,-0.26059,-0.52731,-0.43378,-0.37733,-0.74504,-0.55607,-0.42519,-0.1891,-0.15633,-0.14449,-0.37743,-0.25212,-0.38151,-0.53781,-0.5395,-0.32416,-0.17172,-0.11388,-0.23109,-0.28508,-0.39298,-0.32136,-0.55289,-0.25037,-0.32764,-0.19262,-0.3535,-0.37156,-0.29158,-0.4022,-0.39092,-0.30145,-0.23568,-0.3128,-0.28992,-0.36622,-0.63755,-0.56227,-0.55073,-0.64346,-0.70289,-0.52661,0.17788,0.33308,0.28908,0.65406,0.47074,0.10268,0.26939,0.01987,0.17214,0.14854,-0.08619,-0.168,-0.24732,0.1371,0.01414,0.04385,0.07464,0.02273,0.07711,0.00334,0.13421,0.13548,0.11163,0.27064,0.13795,0.19663
"M652.416T1356.524",0.60626,0.60256,0.61995,0.82996,1,0.73239,0.50638,0.50947,0.67229,0.64306,0.68436,0.6395,0.56392,0.56673,0.41657,0.40248,0.62692,0.38633,0.67211,0.67718,0.40005,0.58578,0.60218,0.64663,0.77455,0.54206,0.60511,0.60057,0.75665,0.69948,0.69248,0.7085,0.58268,0.65876,0.64824,0.65413,0.79295,0.58757,0.58116,0.72928,0.61196,0.53264,0.5186,0.45719,0.49683,0.20997,0.4397,0.58755,0.40022,0.36225,0.47645,0.37194,0.37626,0.37607,0.35592,0.50475,0.43047,0.38873,0.48597,0.61139,0.65397,0.66113,0.66438,0.64734,0.49195,0.4669,0.49606,0.36186,0.6885,0.51929,0.49666,0.59396,0.54837,0.58693,0.4816,0.40578,0.73308,0.50782,0.59163,0.63501,0.29631,0.18692,0.38571,0.25329,0.26496,0.35178,0.33039,-0.0183,0.50415,0.38477,0.25011,0.08586,0.35092,0.29602,-0.12491,0.25731,0.17384,-0.35401,-0.06505,-0.10558,-0.24706,-0.46946,-0.17819,-0.17164,-0.42313,-0.40958,-0.44569,-0.59369,-0.54769,-0.27595,-0.09979,-0.06086,-0.34755,-0.48073,-0.38463,-0.44684,-0.59398,-0.53121,-0.38683,-0.20716,-0.13384,-0.32662,-0.48318,-0.55339,-0.36693,-0.52843,-0.35257,-0.60821,-0.45132,-0.47795,-0.52781,-0.37283,-0.48453,-0.47241,-0.32221,-0.23216,-0.30322,-0.27448,-0.64636,-0.68072,-0.53855,-0.48334,-0.61551,-0.5878,-0.46835,0.18188,0.36084,0.33849,0.47831,0.18837,-0.128,0.01712,-0.18379,0.13133,0.01861,-0.09487,-0.28162,-0.18116,-0.15185,-0.18407,-0.22545,-0.12849,-0.12982,-0.13273,-0.18791,-0.09637,-0.09875,-0.12992,0.23914,0.11663,0.15518
"M343.224T1621.712",0.63583,0.5681,0.69971,0.63841,0.73239,1,0.90429,0.87525,0.72428,0.82357,0.55208,0.63005,0.64509,0.63451,0.61001,0.63969,0.65302,0.80237,0.75283,0.73194,0.70199,0.70639,0.74699,0.76951,0.5827,0.70727,0.70549,0.75832,0.85255,0.88654,0.88759,0.85155,0.64043,0.79898,0.78876,0.91148,0.90003,0.85771,0.84476,0.84912,0.82647,0.6153,0.57153,0.5112,0.28664,0.20519,0.66675,0.76377,0.46321,0.55462,0.50609,0.44447,0.42407,0.42622,0.40794,0.40333,0.34023,0.43837,0.36962,0.39857,0.52431,0.53726,0.45835,0.45312,0.71666,0.7398,0.71284,0.56578,0.7802,0.67958,0.71781,0.71297,0.82389,0.79935,0.54592,0.50858,0.8348,0.60053,0.66021,0.56392,0.43135,0.04701,0.25389,0.17588,0.13,0.22638,0.23997,0.17334,0.42221,0.23242,-0.04874,-0.01156,0.18576,0.09258,0.14391,0.3544,0.40157,-0.37514,-0.28521,-0.21884,-0.40489,-0.31319,-0.2998,-0.03257,-0.45576,-0.50217,-0.50201,-0.59645,-0.74364,-0.38121,-0.25892,-0.26268,-0.51937,-0.51896,-0.63428,-0.56772,-0.6023,-0.68425,-0.47564,-0.49521,-0.30943,-0.39467,-0.57304,-0.50525,-0.22384,-0.42803,-0.37964,-0.34319,-0.42193,-0.36562,-0.44398,-0.30484,-0.26949,-0.35566,-0.33573,-0.27488,-0.27225,-0.29521,-0.70759,-0.66434,-0.73754,-0.5892,-0.77311,-0.5558,-0.67677,0.13821,0.32093,0.26275,0.35099,0.2236,0.21963,0.33738,-0.35297,-0.143,-0.19241,-0.16173,-0.50992,-0.2987,-0.31237,-0.17439,-0.14518,-0.20624,-0.32035,-0.28421,-0.28246,0.02256,-0.04136,-0.09821,-0.03331,0.00987,0.19389
"M629.459T1473.698",0.51688,0.49203,0.59128,0.60719,0.50638,0.90429,1,0.94884,0.68582,0.83762,0.60639,0.6903,0.7051,0.69105,0.69718,0.79115,0.65389,0.83071,0.73299,0.66123,0.76469,0.76648,0.75801,0.79713,0.57369,0.83423,0.81718,0.85118,0.83496,0.8311,0.85161,0.80253,0.72615,0.85323,0.82144,0.89837,0.79738,0.87974,0.79162,0.76202,0.84034,0.51604,0.56266,0.35417,0.18705,0.34471,0.57461,0.57931,0.39499,0.58614,0.52278,0.49353,0.52387,0.52602,0.39156,0.38848,0.30136,0.56764,0.38555,0.34244,0.50547,0.52233,0.40359,0.42902,0.76224,0.82015,0.73765,0.70498,0.65933,0.72157,0.74246,0.70745,0.83536,0.83065,0.42785,0.50301,0.63027,0.58589,0.69893,0.41887,0.48151,0.00682,0.15255,0.16625,0.00495,0.05854,0.11446,0.24385,0.29148,0.09401,-0.16809,-0.07298,0.09216,-0.00458,0.20076,0.28825,0.36157,-0.32506,-0.35638,-0.3256,-0.46318,-0.28519,-0.3565,-0.13788,-0.59902,-0.54344,-0.51625,-0.63994,-0.71474,-0.37879,-0.28506,-0.27637,-0.48234,-0.49934,-0.69506,-0.59175,-0.56257,-0.7203,-0.48514,-0.5971,-0.41599,-0.40802,-0.5312,-0.42405,-0.21843,-0.44164,-0.33744,-0.14631,-0.30681,-0.28129,-0.35149,-0.26375,-0.20668,-0.29477,-0.44438,-0.41618,-0.37192,-0.42434,-0.59257,-0.64214,-0.82813,-0.65918,-0.73414,-0.564,-0.77733,0.17993,0.2687,0.18704,0.31614,0.30763,0.36202,0.47563,-0.23966,-0.20942,-0.21678,-0.22364,-0.45693,-0.35533,-0.24938,-0.18553,-0.05286,-0.19097,-0.35898,-0.26472,-0.29432,0.06918,-0.00296,-0.06518,-0.04155,0.00446,0.20206
"M423.321T1473.286",0.41012,0.38346,0.71493,0.56563,0.50947,0.87525,0.94884,1,0.74417,0.74703,0.52486,0.68228,0.66669,0.63853,0.61417,0.76228,0.65723,0.76084,0.70074,0.60441,0.79192,0.78238,0.7887,0.84973,0.55351,0.76554,0.75194,0.77465,0.85137,0.90234,0.90718,0.86154,0.72605,0.8751,0.84665,0.85778,0.73611,0.80664,0.82276,0.75854,0.88006,0.61223,0.60675,0.38235,0.21825,0.29361,0.50072,0.56585,0.27176,0.51849,0.50899,0.48642,0.47946,0.47973,0.29755,0.32463,0.20097,0.52862,0.43403,0.28492,0.4441,0.51064,0.41541,0.47147,0.7063,0.73179,0.65229,0.71344,0.65489,0.69168,0.76719,0.71584,0.836,0.8135,0.31187,0.51293,0.58534,0.48316,0.61382,0.4394,0.33857,0.03523,0.18207,0.20754,-0.06229,0.09463,0.05236,0.19529,0.28587,0.09919,-0.17889,0.01121,0.16871,0.01232,0.04759,0.13268,0.1541,-0.41278,-0.45372,-0.21061,-0.4829,-0.31002,-0.35933,-0.16127,-0.53769,-0.49509,-0.59402,-0.50646,-0.57014,-0.27834,-0.21014,-0.21428,-0.386,-0.3915,-0.68105,-0.62466,-0.52872,-0.6285,-0.42155,-0.5076,-0.34896,-0.38073,-0.46417,-0.34267,-0.10047,-0.27087,-0.20899,-0.15286,-0.21049,-0.20596,-0.27852,-0.16105,-0.06968,-0.20145,-0.47401,-0.4299,-0.3784,-0.47502,-0.72841,-0.65904,-0.81687,-0.65077,-0.58864,-0.52498,-0.71915,0.43435,0.47194,0.36638,0.28631,0.27659,0.41179,0.50612,-0.16103,-0.15517,-0.14133,-0.19086,-0.3663,-0.23598,-0.17344,-0.06943,0.04102,-0.078,-0.27373,-0.19133,-0.29123,0.19844,0.12229,0.04334,0.05771,0.00988,0.19741
"M510.367T1523.593",0.49558,0.3206,0.604,0.59444,0.67229,0.72428,0.68582,0.74417,1,0.81638,0.7036,0.86501,0.87576,0.86682,0.60975,0.71967,0.72235,0.59371,0.85849,0.72171,0.63206,0.65473,0.66027,0.69416,0.64714,0.5741,0.73919,0.77338,0.81707,0.82846,0.81086,0.86909,0.6951,0.80592,0.76015,0.78258,0.75071,0.75264,0.77936,0.72672,0.76293,0.66977,0.62052,0.6515,0.50614,0.26368,0.40538,0.60889,0.44346,0.55437,0.55326,0.48408,0.49023,0.48456,0.40429,0.38083,0.38381,0.50956,0.68091,0.57721,0.66298,0.72698,0.6958,0.6955,0.63784,0.66785,0.7243,0.47026,0.62614,0.65416,0.60784,0.5719,0.63185,0.65516,0.3999,0.42667,0.61357,0.43659,0.55659,0.34166,-0.00636,0.13424,0.18669,0.18644,0.14585,0.34167,0.18075,0.07897,0.24401,0.2019,0.07057,0.05838,0.31409,0.27353,-0.19595,0.28209,0.26017,-0.28029,-0.08262,-0.03836,-0.13177,-0.54309,-0.44976,-0.37564,-0.57165,-0.6328,-0.80623,-0.51253,-0.46172,0.00253,-0.00696,0.0793,-0.52703,-0.49077,-0.58042,-0.6097,-0.80048,-0.71295,-0.35832,-0.36662,-0.31796,-0.31037,-0.49801,-0.46455,-0.05022,-0.2394,-0.38647,-0.39004,-0.40552,-0.34952,-0.39167,-0.30273,-0.20141,-0.26663,-0.47077,-0.43148,-0.44674,-0.49549,-0.84631,-0.9425,-0.78419,-0.70804,-0.51126,-0.38892,-0.49228,0.3638,0.55229,0.57221,0.35434,0.12898,0.15189,0.31498,-0.00574,0.07899,-0.02748,-0.30911,-0.22958,-0.15951,-0.3228,-0.14632,-0.12583,-0.22921,-0.26223,-0.23627,-0.27903,0.03038,-0.0347,-0.10523,0.29127,-0.00325,0.18381
"M589.501T1621.712",0.69466,0.56291,0.45007,0.64136,0.64306,0.82357,0.83762,0.74703,0.81638,1,0.74772,0.79941,0.87993,0.87818,0.68034,0.71954,0.63146,0.66853,0.81256,0.75828,0.56606,0.71952,0.64568,0.66666,0.65702,0.70142,0.79589,0.84817,0.80708,0.758,0.74915,0.77682,0.63348,0.75331,0.68433,0.87688,0.75797,0.83493,0.6769,0.66644,0.66821,0.39009,0.37839,0.40374,0.21024,0.13269,0.46322,0.56635,0.50894,0.60203,0.45568,0.37786,0.41622,0.41911,0.40391,0.35048,0.361,0.44029,0.41539,0.47652,0.61413,0.59757,0.51264,0.49998,0.6228,0.73945,0.75032,0.41077,0.5224,0.57784,0.48204,0.51254,0.64849,0.66628,0.46756,0.36378,0.74141,0.60862,0.6971,0.28598,0.27366,-0.12622,0.02673,0.02223,-0.00767,0.0776,0.13718,0.08906,0.18833,0.0416,-0.10447,-0.23954,0.02675,0.05163,0.11124,0.46004,0.5147,-0.27328,-0.08505,-0.42831,-0.33181,-0.51402,-0.55282,-0.37132,-0.71807,-0.7302,-0.68698,-0.80051,-0.79083,-0.38039,-0.23417,-0.21808,-0.50669,-0.45331,-0.59788,-0.48116,-0.63347,-0.75767,-0.33445,-0.3989,-0.28658,-0.24921,-0.51845,-0.46679,-0.19721,-0.44794,-0.49924,-0.26953,-0.38724,-0.29157,-0.37114,-0.28601,-0.27416,-0.27401,-0.31173,-0.28455,-0.29593,-0.31425,-0.60031,-0.85704,-0.80794,-0.56534,-0.65837,-0.45677,-0.69095,0.04442,0.31866,0.31482,0.50645,0.38031,0.31322,0.46662,-0.0713,0.0799,-0.06372,-0.10264,-0.30453,-0.1848,-0.31218,-0.21696,-0.11687,-0.24288,-0.30968,-0.20772,-0.20575,-0.06971,-0.11608,-0.17029,0.15493,0.17924,0.37725
"M578.503T1590.788",0.54378,0.45577,0.2763,0.70937,0.68436,0.55208,0.60639,0.52486,0.7036,0.74772,1,0.9247,0.86954,0.88082,0.75999,0.81246,0.7816,0.55935,0.78755,0.81947,0.43076,0.6111,0.5636,0.63494,0.81466,0.80622,0.88911,0.88336,0.75661,0.62513,0.67701,0.72322,0.78061,0.80801,0.76148,0.67731,0.71313,0.75193,0.56913,0.61045,0.60714,0.43994,0.62933,0.48936,0.55744,0.57409,0.48395,0.49305,0.6504,0.6535,0.74733,0.65596,0.77145,0.77303,0.63579,0.7249,0.69074,0.79263,0.74757,0.73423,0.89842,0.85046,0.83514,0.8119,0.71527,0.78949,0.79305,0.60249,0.57653,0.62704,0.52823,0.59424,0.58081,0.69738,0.47193,0.38804,0.53842,0.68046,0.80633,0.46186,0.44526,0.31961,0.38387,0.39939,0.33365,0.32915,0.37856,0.28312,0.41729,0.33686,0.41637,0.16076,0.42213,0.46448,-0.02595,0.50997,0.35816,0.08256,0.14809,-0.08412,-0.09466,-0.41133,-0.16156,-0.2977,-0.6869,-0.47485,-0.50359,-0.67753,-0.56135,-0.18002,-0.07097,0.06094,-0.5482,-0.70411,-0.68299,-0.61704,-0.75178,-0.82249,-0.55877,-0.55917,-0.50318,-0.52987,-0.69213,-0.70282,-0.58287,-0.71075,-0.57621,-0.53801,-0.59458,-0.60321,-0.63756,-0.5431,-0.6487,-0.61415,-0.55711,-0.53537,-0.48947,-0.47392,-0.54953,-0.70327,-0.67725,-0.64001,-0.58703,-0.49894,-0.57458,0.04887,0.0809,0.05654,0.22674,0.03991,-0.17478,0.01499,-0.08541,-0.08077,-0.21775,-0.38664,-0.27291,-0.41157,-0.3834,-0.54562,-0.4523,-0.46838,-0.51655,-0.43551,-0.48438,-0.39304,-0.40771,-0.45079,0.19228,-0.05851,0.00128
"M635.491T1472.841",0.45141,0.34913,0.47377,0.60553,0.6395,0.63005,0.6903,0.68228,0.86501,0.79941,0.9247,1,0.96226,0.94422,0.80345,0.8562,0.81555,0.61185,0.80366,0.7852,0.52477,0.67802,0.64694,0.72384,0.80188,0.79293,0.89591,0.88796,0.86596,0.79389,0.81127,0.86697,0.78539,0.89177,0.84984,0.78888,0.71849,0.82687,0.68622,0.68295,0.6998,0.64468,0.68672,0.61276,0.5598,0.52849,0.51141,0.57364,0.60785,0.63886,0.7217,0.66733,0.73159,0.73062,0.58358,0.65775,0.61177,0.74267,0.79984,0.69464,0.83695,0.83439,0.8268,0.821,0.75011,0.81223,0.81117,0.67072,0.62596,0.64621,0.60827,0.62254,0.67029,0.74212,0.45568,0.45868,0.5453,0.61875,0.76079,0.42206,0.28909,0.31212,0.35538,0.40823,0.2527,0.35478,0.29004,0.24011,0.37339,0.2943,0.2685,0.18232,0.42411,0.42129,-0.14529,0.38097,0.31068,-0.012,0.01584,-0.01761,-0.09448,-0.47467,-0.29106,-0.3593,-0.71273,-0.54565,-0.67001,-0.59458,-0.49563,-0.02884,-0.00459,0.12187,-0.59537,-0.64108,-0.77779,-0.70431,-0.7717,-0.7899,-0.5578,-0.57389,-0.51017,-0.51579,-0.68214,-0.62906,-0.40379,-0.50623,-0.45508,-0.4712,-0.55695,-0.50548,-0.55686,-0.44271,-0.46972,-0.4928,-0.6288,-0.60967,-0.56909,-0.6171,-0.74893,-0.83288,-0.80076,-0.69728,-0.50923,-0.44254,-0.62035,0.27567,0.30717,0.26661,0.21142,0.03976,-0.07342,0.09482,-0.07194,-0.08422,-0.19103,-0.40528,-0.28862,-0.32541,-0.41566,-0.49151,-0.36181,-0.4333,-0.46019,-0.42546,-0.47725,-0.231,-0.28187,-0.35102,0.25247,-0.01827,0.09622
"M628.529T1624.373",0.5682,0.40468,0.40604,0.51869,0.56392,0.64509,0.7051,0.66669,0.87576,0.87993,0.86954,0.96226,1,0.98995,0.80581,0.85023,0.78148,0.65896,0.81667,0.78181,0.52276,0.66959,0.61352,0.66732,0.70431,0.7373,0.86841,0.88405,0.80211,0.76042,0.7673,0.84206,0.6806,0.81933,0.76945,0.80396,0.6761,0.81919,0.67184,0.62583,0.64156,0.53907,0.54961,0.60021,0.41648,0.38433,0.52861,0.60445,0.66585,0.70227,0.65919,0.60774,0.65505,0.6552,0.58252,0.58138,0.58481,0.65935,0.73183,0.65383,0.80079,0.77148,0.75157,0.73411,0.70773,0.81724,0.82759,0.55054,0.55564,0.58202,0.51821,0.53847,0.62698,0.68028,0.48554,0.39902,0.60848,0.65451,0.75851,0.3269,0.24871,0.14369,0.19321,0.24313,0.18079,0.26251,0.21045,0.20482,0.26799,0.19965,0.19202,0.01281,0.26515,0.2986,-0.04209,0.47678,0.45586,-5e-04,0.09664,-0.14736,-0.13135,-0.51444,-0.41949,-0.37331,-0.72823,-0.6101,-0.7222,-0.66296,-0.60312,-0.11952,-0.09864,0.01826,-0.62592,-0.57099,-0.76802,-0.67422,-0.75139,-0.81471,-0.50339,-0.53647,-0.48133,-0.41942,-0.65068,-0.59281,-0.34887,-0.44677,-0.51004,-0.38659,-0.54712,-0.43585,-0.50064,-0.38494,-0.39341,-0.40526,-0.48165,-0.4725,-0.44573,-0.49181,-0.70717,-0.85631,-0.79382,-0.64133,-0.49337,-0.36816,-0.62658,0.1669,0.27115,0.25215,0.27681,0.10418,0.04945,0.22544,-0.04226,-0.0404,-0.1815,-0.351,-0.28126,-0.29051,-0.49211,-0.45516,-0.3539,-0.47217,-0.47308,-0.41746,-0.42972,-0.2031,-0.26155,-0.33622,0.22543,0.03441,0.20264
