"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"sodium_formate","4034768","3834774","3778849","4038728","3927945","3923776","3741009","4053882","3890744","4045781","3879945","4104744","3959808","3945214","3800063","4006431","3667732","4024050","4024050","3845071","4035455","3963239","3909794","3819856","3998858","3805402","3801631","3974273","3999728","3766924","3340263","3555483","3798360","3837318","3790177","3934423","3867787","3442128","3960498","4037492","3920796","4069493","3868514","3964440","4037002","4030309","3922006","3735045","3901010","3528208","4862692"
"M177.03T19.56","18351.68","19419.40","18736.83","17436.00","22888.46","18936.42","16220.33","20071.16","17453.06","20635.72","17276.61","21246.00","18416.25","19171.88","18126.19","18009.28","13327.47","14580.00","14580.00","17582.59","19121.19","18693.09","18842.36","16833.27","19830.89","14999.89","19630.72","21219.12","21036.46","14964.13","13540.05","13510.57","16686.74","19172.99","20143.45","20090.69","20789.59","14800.00","16088.50","21258.18","19517.13","19847.36","17226.41","22156.27","20992.70","18590.21","17574.53","16277.83","19071.68","12823.39","20781.21"
"M186.96T7.54"," 6980.777","12943.284"," 6991.086"," 7780.283"," 7705.939"," 7837.580"," 7176.182"," 6680.070"," 6693.797"," 7755.913"," 6798.739"," 6985.118"," 6397.864"," 6714.082","11312.587"," 7756.596"," 6758.931"," 8246.635"," 8246.635"," 6932.437"," 6727.683"," 6168.768"," 7424.841"," 6241.794"," 8356.190"," 7016.352"," 5797.932","10589.333"," 7244.307"," 8195.375"," 8595.915","10395.049"," 6472.362"," 8610.327"," 6973.197"," 7205.886"," 6884.996"," 7980.000"," 6430.452"," 8025.591"," 6899.205"," 7808.635"," 7649.083"," 7007.753"," 6899.470"," 8001.491"," 7251.251"," 6917.147"," 8078.855"," 6085.126"," 6407.413"
"M205.07T813.54"," 60902.89"," 68939.30","101295.09","106125.15"," 80133.66"," 66632.34"," 56615.30"," 87114.23"," 66475.87","122827.71"," 86610.76"," 27912.52"," 95839.95"," 86850.81"," 75459.63"," 80562.37"," 42186.74"," 63332.79"," 63332.79"," 79742.88"," 86509.76"," 15823.73"," 68169.69"," 83305.41","101210.70","114615.27"," 71937.98"," 87233.46"," 35810.57"," 79589.74"," 26603.58"," 52211.59"," 88803.00"," 94432.20"," 85283.48"," 41579.76"," 88893.13"," 52600.00"," 83945.60"," 47539.73"," 42660.62"," 24601.70"," 13502.31"," 33593.86"," 40168.16"," 38329.43"," 91455.60"," 69695.01"," 56621.32"," 75040.25"," 40945.37"
"M217.03T22.06","8187.210","6344.026","7381.325","6407.573","6108.270","8375.050","7249.684","7180.240","7657.757","8686.942","7767.483","6329.746","6571.656","5961.460","7888.136","7199.534","7018.118","5711.091","5711.091","8481.368","7675.806","6502.053","6209.755","6841.472","7808.885","7196.194","6412.089","7561.677","6485.564","5844.737","6274.224","6040.867","6939.480","8228.437","7295.316","7216.126","8151.171","8000.000","8080.517","8300.873","7404.329","6401.476","7670.698","6849.446","8377.720","7200.230","7854.807","6345.012","8580.785","5751.202","9111.158"
"M222.96T20.57","12284.744","11860.869","12238.549","11159.429","13626.056","13328.885","10320.101","14330.147","11626.351","11929.151","12624.191","13926.501","13258.976","12533.750","11869.502","12425.164"," 8172.888"," 8625.084"," 8625.084","13032.982","13079.498","14968.522","10093.382","11404.852","12164.359","11155.084","13221.546","14380.860","12787.769","10721.126"," 9508.339"," 8372.283","10437.218","13260.344","13229.427","13399.117","12524.800"," 9650.000","13463.153","13751.713","16268.660","13711.773","14781.540","13242.512","14693.240","12415.134","15366.567","10849.314","11679.061"," 8728.152","15291.010"
"M224.13T58.72","115012.74","106524.43"," 42745.00"," 36805.85"," 97208.86"," 37263.02"," 30496.97"," 49278.98"," 54958.22"," 71517.63"," 44685.57","261719.11"," 44585.04"," 32730.63"," 48232.16","138632.96"," 32103.78"," 43386.80"," 43386.80"," 51273.01"," 44633.21"," 30205.45","359211.91"," 43054.82","117293.79"," 37127.92"," 48439.65"," 31248.83"," 30993.73","367107.40"," 46968.38"," 48489.04"," 66030.69","287215.35"," 59602.57"," 90143.59"," 30980.55"," 52800.00"," 30290.49"," 36664.68"," 33204.75"," 31309.83","143478.29"," 55700.27","122041.74"," 45008.82","191431.17"," 29906.09"," 34205.58","295159.68"," 65877.04"
"M236.94T4.52","17568.04","18066.21","17661.28","16621.97","17474.34","22005.82","16733.29","12027.19","17432.72","12315.77","17102.38","18218.26","16985.69","15488.21","17861.35","17320.24","17306.44","16647.79","16647.79","17884.41","20194.17","14619.42","16107.06","12608.70","11488.36","15007.59","11145.34","12263.63","17562.35","16328.18","18634.53","17086.23","18472.85","16164.70","12559.57","16384.35","19463.92","18300.00","17849.77","17291.24","11573.98","17141.60","18765.55","18347.35","18699.93","15705.75","17632.07","17831.57","17071.52","17813.28","15535.33"
"M243.89T1588.97","361739.4","401168.1","387313.2","402961.9","380004.7","386255.5","379278.5","368258.5","367018.7","368768.2","321153.4","365992.6","354556.7","394774.1","346980.6","370817.5","352682.4","355770.9","355770.9","348637.0","374548.9","372062.0","374617.3","422015.2","379273.9","385353.7","369978.9","348228.4","410049.5","353112.2","350116.4","289778.4","363640.0","365055.3","354669.0","386265.3","351297.4","365000.0","380441.0","364834.3","308061.9","386099.8","346045.9","411163.6","397373.0","397096.4","362180.0","353439.6","371064.4","352517.3","326144.3"
"M245.03T22.3","4838.472","7360.014","6063.552","4619.818","6235.227","6265.940","6347.582","5996.357","5421.028","5241.678","6056.282","5077.186","7174.387","5737.210","6389.223","5822.534","6157.923","6013.752","6013.752","6405.158","7001.676","5831.963","5714.658","6075.098","6081.877","5237.366","6262.732","7761.500","5303.228","4922.427","5492.428","6462.593","5021.002","6489.022","6183.918","7288.770","5872.645","6450.000","5932.125","5848.226","6995.121","6370.677","7694.609","6437.423","6137.903","6680.306","6365.290","5350.381","6177.012","6076.328","3902.989"
"M247.08T831.65"," 80185.01"," 93590.51","150929.22","123135.54"," 97808.48","101018.82","100767.98","129573.39"," 77404.91","166652.63","132346.87"," 42243.93","156968.30","133271.83","112318.79","106559.91"," 33687.28"," 86295.61"," 86295.61","113814.47","110407.01"," 18373.31"," 96293.08","119284.79","140679.47","138721.85"," 97445.94","134990.94"," 86685.36"," 95289.60"," 48264.51"," 55607.27","125796.24","137883.65","117235.39"," 77982.97","103567.57"," 92200.00","131767.14"," 60452.47"," 78107.26"," 45737.07"," 19642.22"," 46423.70"," 46411.51"," 42768.13","121878.90"," 95853.38","104271.07","100985.50"," 51801.64"
"M250.96T20.39","18730.79","17423.89","16768.90","18238.55","16757.45","19169.16","14204.80","17090.10","17129.76","16834.90","17993.12","17403.60","17468.25","17509.80","17465.47","18224.51","16840.89","16405.07","16405.07","18019.90","18108.54","20512.21","16258.23","18119.34","18203.46","16898.94","19600.91","18494.82","17656.04","15322.14","13351.28","17525.45","15263.65","17337.71","16658.71","20960.49","18491.37","15000.00","18537.91","19420.16","18280.68","17588.67","18591.50","16465.25","19325.48","16045.13","20680.04","15617.20","17450.56","14735.14","22000.85"
"M256.93T20.56","6114.288","5567.051","5641.507","6730.180","7442.260","6100.246","4289.958","5067.557","6121.843","5720.206","6138.360","6068.150","6078.986","6844.253","6429.980","6461.453","4383.145","5904.748","5904.748","6980.880","6927.869","5551.822","5468.076","5915.545","8860.348","4990.904","6308.870","7515.307","6971.527","5609.109","4525.487","5796.067","5220.774","6051.894","5621.007","7401.812","7042.188","5070.000","6471.383","6885.617","5452.769","6379.868","5584.136","5818.353","5456.320","6479.921","6918.485","5118.918","6127.485","5233.888","5899.363"
"M274.94T20.57","14909.344","17289.405","11334.385","12978.662","13337.604","14585.438"," 9831.284","16218.275","15110.412","14629.445","13194.173","16039.376","15211.498","13378.691","12262.678","15638.776"," 9951.659","13998.478","13998.478","14581.614","15707.216","14603.542","11266.986","14832.521","16832.346","12880.256","13783.226","14392.397","15080.606","11587.675","12442.628","12252.544","13195.341","15464.651","13520.111","14328.597","15580.168","10800.000","13816.761","15337.876","15644.794","12846.424","14434.565","15510.392","13181.426","14784.120","12963.552","11210.286","15695.495","12347.989","16798.533"
"M277T22.59","7406.152","6542.796","6251.422","7023.515","5288.767","6541.261","5854.521","6949.400","6037.820","7471.946","5869.053","7087.198","5695.034","7870.577","6774.262","6674.856","6276.339","6670.868","6670.868","8074.150","7411.853","6312.600","5518.677","6688.004","5495.527","6036.615","6956.592","6917.117","6628.882","6522.430","7149.323","6554.674","5947.790","6064.138","5811.382","7316.954","5886.397","7840.000","6248.690","6791.295","7075.070","6494.804","7539.719","7139.354","7167.900","6904.652","7007.727","6300.850","6544.530","6110.260","6180.437"
